Enzyme,Bag ID,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
h2o2,QR160,0.000969146,QR160,2.24,1.094479167,0,1,0.2017,0.2017,125,0.600610789
h2o2,CO102,0.001087816,CO102,2.27,0.339285714,0.18181818,0.81818182,0.2317,0.189572728,125,0.717281744
h2o2,AS22,0.002442642,AS22,2.36,1.634285714,0.111111111,0.888888889,0.2597,0.230844445,125,1.322666875
dopa,AS101,0.001147152,AS101,2.04,0.489210526,0.307692306,0.692307694,0.2019,0.139776923,125,1.025877407
dopa,CO191,-0.011006725,CO191,2.14,0.893793103,0.11111111,0.88888889,0.2379,0.211466667,125,-6.506181825
dopa,AS151,-0.020124604,AS151,3.23,0.671658031,0.769230769,0.230769231,0.2655,0.061269231,125,-41.05773016
h2o2,AS101,0.002966772,AS101,2.04,0.489210526,0.307692306,0.692307694,0.2019,0.139776923,125,2.653131225
h2o2,CO191,0.001493275,CO191,2.14,0.893793103,0.11111111,0.88888889,0.2379,0.211466667,125,0.882689538
h2o2,AS151,0.005270965,AS151,3.23,0.671658031,0.769230769,0.230769231,0.2655,0.061269231,125,10.75369542
dopa,QR42,-0.018710443,QR42,2.1,0.721875,0.111111111,0.888888889,0.2163,0.192266667,125,-12.16438302
dopa,QR28,-0.024564873,QR28,2.07,1.096708861,1,0,0.2796,0,125,#NAME?
dopa,QR187,-0.039606408,QR187,2.01,0.564657534,0,1,0.2463,0.2463,125,-20.10069439
h2o2,QR42,0.004905063,QR42,2.1,0.721875,0.111111111,0.888888889,0.2163,0.192266667,125,3.188971448
h2o2,QR28,0.007041139,QR28,2.07,1.096708861,1,0,0.2796,0,125,Inf
h2o2,QR187,0.004984177,QR187,2.01,0.564657534,0,1,0.2463,0.2463,125,2.529525586
dopa,CO188,0.015318434,CO188,2.29,1.214545455,-0.076923077,1.076923077,0.2124,0.228738461,125,8.371150985
dopa,QR92,-0.003283228,QR92,2.21,0.95516129,0,1,0.1928,0.1928,125,-2.12864876
dopa,QR4,-0.003599684,QR4,2.29,1.349090909,0,1,0.2651,0.2651,125,-1.697323437
h2o2,CO188,0.003184335,CO188,2.29,1.214545455,-0.076923077,1.076923077,0.2124,0.228738461,125,1.740161793
h2o2,QR92,0.001196598,QR92,2.21,0.95516129,0,1,0.1928,0.1928,125,0.775802711
h2o2,QR4,0.010116693,QR4,2.29,1.349090909,0,1,0.2651,0.2651,125,4.770224933
dopa,CO122,-0.025761472,CO122,2.11,0.549390244,0.117647058,0.882352942,0.216,0.190588235,125,-16.89602687
dopa,QR14,-0.027304193,QR14,2.13,0.50313253,-0.1,1.1,0.1898,0.20878,125,-16.34746685
dopa,AS106,-0.017029272,AS106,2.03,0.887466667,-0.142857142,1.142857142,0.8224,0.939885714,125,-2.264806228
h2o2,CO122,0.003233782,CO122,2.11,0.549390244,0.117647058,0.882352942,0.216,0.190588235,125,2.120921607
h2o2,QR14,-0.00403481,QR14,2.13,0.50313253,-0.1,1.1,0.1898,0.20878,125,-2.415706801
h2o2,AS106,0.002056962,AS106,2.03,0.887466667,-0.142857142,1.142857142,0.8224,0.939885714,125,0.273565445
dopa,AS129,0.010670491,AS129,2.07,1.068987342,0.111111112,0.888888888,0.1974,0.175466667,125,7.60150823
dopa,QR149,0.004469937,QR149,2.17,1.287640449,0.153846153,0.846153847,0.1982,0.167707692,125,3.331642586
dopa,AS6,0.003441456,AS6,2,0.133098592,0.125,0.875,0.2042,0.178675,125,2.407622566
h2o2,AS129,0.021311313,AS129,2.07,1.068987342,0.111111112,0.888888888,0.1974,0.175466667,125,15.18188159
h2o2,QR149,0.005102848,QR149,2.17,1.287640449,0.153846153,0.846153847,0.1982,0.167707692,125,3.803379589
h2o2,AS6,-0.010601266,AS6,2,0.133098592,0.125,0.875,0.2042,0.178675,125,-7.416584457
dopa,AS173,0.005033623,AS173,2.1,0.344878049,0.249999999,0.750000001,0.2774,0.20805,125,3.024287081
dopa,QR175,0.012292326,QR175,2,0.730285714,0.066666666,0.933333334,0.2267,0.211586667,125,7.261992286
dopa,AS46,-0.010443038,AS46,2.12,1.531084337,0.272727272,0.727272728,0.277,0.201454546,125,-6.479773094
h2o2,AS173,0.003105222,AS173,2.1,0.344878049,0.249999999,0.750000001,0.2774,0.20805,125,1.865670223
h2o2,QR175,-0.000454905,QR175,2,0.730285714,0.066666666,0.933333334,0.2267,0.211586667,125,-0.268746295
h2o2,AS46,0.005399525,AS46,2.12,1.531084337,0.272727272,0.727272728,0.277,0.201454546,125,3.350337225
dopa,QR193,0.010354035,QR193,2.1,1.338536585,0,1,0.1939,0.1939,125,6.674854829
dopa,CO83,0.009622231,CO83,2.12,1.214457831,0.2,0.8,0.2144,0.17152,125,7.012470129
dopa,QR185,-0.004974288,QR185,2.49,1.52,-0.090909091,1.090909091,0.2686,0.293018182,125,-2.122004828
h2o2,QR193,0.003471123,QR193,2.1,1.338536585,0,1,0.1939,0.1939,125,2.237702049
h2o2,CO83,0.002818434,CO83,2.12,1.214457831,0.2,0.8,0.2144,0.17152,125,2.054012319
h2o2,QR185,0.007397152,QR185,2.49,1.52,-0.090909091,1.090909091,0.2686,0.293018182,125,3.155585708
dopa,CO169,-0.021578323,CO169,2.56,1.0275,0.222222222,0.777777778,0.21,0.163333333,125,-16.51402257
dopa,AS191,-0.022695807,AS191,2.18,0.786666667,0.285714286,0.714285714,0.2067,0.147642857,125,-19.21512444
dopa,AS159,-0.047211234,AS159,2.07,0.681558442,0.142857143,0.857142857,0.2311,0.198085714,125,-29.79217508
h2o2,CO169,0.001671282,CO169,2.56,1.0275,0.222222222,0.777777778,0.21,0.163333333,125,1.279042078
h2o2,AS191,0.00090981,AS191,2.18,0.786666667,0.285714286,0.714285714,0.2067,0.147642857,125,0.770279498
h2o2,AS159,0.001048259,AS159,2.07,0.681558442,0.142857143,0.857142857,0.2311,0.198085714,125,0.661493623
dopa,CO170,-0.004331487,CO170,2.06,0.577307692,0.124999999,0.875000001,0.1947,0.1703625,125,-3.178140246
dopa,QR194,-0.020579509,QR194,2.01,2.170985915,0.111111111,0.888888889,0.2579,0.229244444,125,-11.22137855
dopa,AS155,-0.03893394,AS155,2.3,0.718431373,0,1,0.2148,0.2148,125,-22.65708792
h2o2,CO170,0.007535601,CO170,2.06,0.577307692,0.124999999,0.875000001,0.1947,0.1703625,125,5.529093305
h2o2,QR194,-0.004084256,QR194,2.01,2.170985915,0.111111111,0.888888889,0.2579,0.229244444,125,-2.227020347
h2o2,AS155,0.000988924,AS155,2.3,0.718431373,0,1,0.2148,0.2148,125,0.575491184
dopa,QR22,0.021400316,QR22,2.01,1.882222222,0,1,0.2239,0.2239,125,11.94747457
dopa,CO104,0.00690269,CO104,2.18,1.521777778,0.066666667,0.933333333,0.2953,0.275613333,125,3.130604114
dopa,QR150,-0.004094146,QR150,2.09,0.875925926,-0.083333333,1.083333333,0.2092,0.226633333,125,-2.258132947
h2o2,QR22,0.005063291,QR22,2.01,1.882222222,0,1,0.2239,0.2239,125,2.826759234
h2o2,CO104,-0.003748022,CO104,2.18,1.521777778,0.066666667,0.933333333,0.2953,0.275613333,125,-1.699855242
h2o2,QR150,0.002126187,QR150,2.09,0.875925926,-0.083333333,1.083333333,0.2092,0.226633333,125,1.172701893
dopa,QR23,-0.019887263,QR23,2.06,0.655696203,0,1,0.2002,0.2002,125,-12.41712204
dopa,CO139,-0.026068038,CO139,2.12,1.364146341,0.083333333,0.916666667,0.1796,0.164633333,125,-19.79249698
dopa,QR171,-0.020589399,QR171,2.26,1.006701031,0.181818182,0.818181818,0.2053,0.167972727,125,-15.32198047
h2o2,QR23,0.005913766,QR23,2.06,0.655696203,0,1,0.2002,0.2002,125,3.692411228
h2o2,CO139,0.002798655,CO139,2.12,1.364146341,0.083333333,0.916666667,0.1796,0.164633333,125,2.124915268
h2o2,QR171,0.010472706,QR171,2.26,1.006701031,0.181818182,0.818181818,0.2053,0.167972727,125,7.793456922
dopa,AS201,-0.031319225,AS201,2.81,1.318421053,-0.230769231,1.230769231,0.2568,0.316061538,125,-12.38652166
dopa,AS103,-0.028955696,AS103,2.02,0.392876712,0.400000001,0.599999999,0.2464,0.14784,125,-24.48229184
dopa,AS182,-0.051335047,AS182,2.01,-0.293835616,0.111111108,0.888888892,0.2467,0.21928889,125,-29.26222543
h2o2,AS201,5.93E-05,AS201,2.81,1.318421053,-0.230769231,1.230769231,0.2568,0.316061538,125,0.023466729
h2o2,AS103,-0.018423655,AS103,2.02,0.392876712,0.400000001,0.599999999,0.2464,0.14784,125,-15.57735987
h2o2,AS182,0.008188291,AS182,2.01,-0.293835616,0.111111108,0.888888892,0.2467,0.21928889,125,4.667525073
dopa,AS113,0.017899525,AS113,2.08,0.788961039,-0.166666666,1.166666666,0.2483,0.289683333,125,7.723746621
h2o2,AS113,0.005448972,AS113,2.08,0.788961039,-0.166666666,1.166666666,0.2483,0.289683333,125,2.351262093
