Enzyme,Bag ID,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
dopa,CO45,-0.033030063,CO45,2.15,1.486860465,0.117647058,0.882352942,0.2556,0.225529412,125,-18.30695994
dopa,QR35,-0.029717168,QR35,2.09,0.46325,0.214285714,0.785714286,0.2125,0.166964286,125,-22.24814692
dopa,AS2,-0.051641614,AS2,1.79,0.2096,0.166666665,0.833333335,0.2035,0.169583334,125,-38.06507154
h2o2,CO45,0.00494462,CO45,2.15,1.486860465,0.117647058,0.882352942,0.2556,0.225529412,125,2.740562866
h2o2,QR35,0.006744462,QR35,2.09,0.46325,0.214285714,0.785714286,0.2125,0.166964286,125,5.04932985
h2o2,AS2,0.000237342,AS2,1.79,0.2096,0.166666665,0.833333335,0.2035,0.169583334,125,0.174944795
dopa,CO167,-0.023842959,CO167,1.91,0.44,0.272727273,0.727272727,0.2296,0.166981818,125,-17.84846933
dopa,CO201,-0.019106013,CO201,2.03,0.552911392,0.066666666,0.933333334,0.1868,0.174346667,125,-13.69829216
dopa,QR158,-0.038014241,QR158,2.03,0.6256,-0.2,1.2,0.1971,0.23652,125,-20.09039431
h2o2,CO167,0.011965981,CO167,1.91,0.44,0.272727273,0.727272727,0.2296,0.166981818,125,8.957547861
h2o2,CO201,0.008682753,CO201,2.03,0.552911392,0.066666666,0.933333334,0.1868,0.174346667,125,6.225207308
h2o2,QR158,0.010265032,QR158,2.03,0.6256,-0.2,1.2,0.1971,0.23652,125,5.425033636
dopa,AS55,-0.024574763,AS55,2.22,1.696808511,0.333333333,0.666666667,0.3098,0.206533333,125,-14.87336348
dopa,AS72,-0.025178006,AS72,2.14,0.456904762,0.230769232,0.769230768,0.2797,0.215153846,125,-14.62790859
dopa,QR93,-0.044224684,QR93,2.09,0.745925926,0.111111112,0.888888888,0.2334,0.207466666,125,-26.64565614
h2o2,AS55,-0.000197785,AS55,2.22,1.696808511,0.333333333,0.666666667,0.3098,0.206533333,125,-0.119705139
h2o2,AS72,0.000623022,AS72,2.14,0.456904762,0.230769232,0.769230768,0.2797,0.215153846,125,0.361963174
h2o2,QR93,0.00351068,QR93,2.09,0.745925926,0.111111112,0.888888888,0.2334,0.207466666,125,2.115207498
dopa,CO120,0.012381329,CO120,3.5,2.648648649,0.529411765,0.470588235,0.1995,0.093882353,125,16.48516563
dopa,QR33,0.005547864,QR33,3.28,4.841909548,0.473684211,0.526315789,0.2558,0.134631579,125,5.150968262
dopa,AS136,-0.008949763,AS136,2.37,0.682181818,0,1,0.366,0.366,125,-3.05661293
h2o2,CO120,0.00559731,CO120,3.5,2.648648649,0.529411765,0.470588235,0.1995,0.093882353,125,7.452558904
h2o2,QR33,0.011372627,QR33,3.28,4.841909548,0.473684211,0.526315789,0.2558,0.134631579,125,10.55902585
h2o2,AS136,0.005122627,AS136,2.37,0.682181818,0,1,0.366,0.366,125,1.749530937
dopa,CO105,-0.00715981,CO105,2.4,1.129090909,0.083333333,0.916666667,0.252,0.231,125,-3.874356129
dopa,AS120,-0.002403085,AS120,3.25,4.417085427,0.653846154,0.346153846,0.305,0.105576923,125,-2.845183131
dopa,AS181,-0.00559731,AS181,5.06,2.776781003,0.166666667,0.833333333,0.2251,0.187583333,125,-3.729882366
h2o2,CO105,0.004410601,CO105,2.4,1.129090909,0.083333333,0.916666667,0.252,0.231,125,2.386688997
h2o2,AS120,0.011550633,AS120,3.25,4.417085427,0.653846154,0.346153846,0.305,0.105576923,125,13.67561275
h2o2,AS181,0.008564082,AS181,5.06,2.776781003,0.166666667,0.833333333,0.2251,0.187583333,125,5.706851817
dopa,QR132,0.014537184,QR132,3.18,2.306137566,0.090909091,0.909090909,0.2232,0.202909091,125,8.95547821
dopa,CO174,0.005508307,CO174,4.02,3.969889299,0,1,0.3653,0.3653,125,1.884857296
dopa,AS42,0.003846915,AS42,4.32,6.145313531,0.8125,0.1875,0.2878,0.0539625,125,8.91108306
h2o2,QR132,-0.026384494,QR132,3.18,2.306137566,0.090909091,0.909090909,0.2232,0.202909091,125,-16.25388834
h2o2,CO174,-0.02265625,CO174,4.02,3.969889299,0,1,0.3653,0.3653,125,-7.752617711
h2o2,AS42,-0.039804193,AS42,4.32,6.145313531,0.8125,0.1875,0.2878,0.0539625,125,-92.20336585
dopa,CO37,-0.026018592,CO37,2.64,0.789705882,0.222222222,0.777777778,0.2109,0.164033333,125,-19.82721385
dopa,QR66,-0.024485759,QR66,3.47,4.044354839,0.1,0.9,0.2416,0.21744,125,-14.07615865
dopa,CO47,-0.045579509,CO47,4.26,5.900204082,0.5,0.5,0.6065,0.30325,125,-18.78792642
h2o2,CO37,0.002551424,CO37,2.64,0.789705882,0.222222222,0.777777778,0.2109,0.164033333,125,1.944287789
h2o2,QR66,-0.005666535,QR66,3.47,4.044354839,0.1,0.9,0.2416,0.21744,125,-3.25752783
h2o2,CO47,0.023516614,CO47,4.26,5.900204082,0.5,0.5,0.6065,0.30325,125,9.693575402
dopa,QR165,0.002828323,QR165,2.5,0.32,0.133333334,0.866666666,0.264,0.2288,125,1.545193829
dopa,QR84,0.008346519,QR84,4.05,5.454782609,0.272727273,0.727272727,0.2216,0.161163636,125,6.473636977
dopa,CO80,0.020510285,CO80,4.25,3.686195286,0.2,0.8,0.2377,0.19016,125,13.48225495
h2o2,QR165,0.005508307,QR165,2.5,0.32,0.133333334,0.866666666,0.264,0.2288,125,3.009346024
h2o2,QR84,0.010650712,QR84,4.05,5.454782609,0.272727273,0.727272727,0.2216,0.161163636,125,8.260790314
h2o2,CO80,0.001404272,CO80,4.25,3.686195286,0.2,0.8,0.2377,0.19016,125,0.923085922
dopa,AS30,-0.002660206,AS30,4.44,2.257845659,0.571428571,0.428571429,0.3537,0.151585714,125,-2.19364809
dopa,AS110,0.008712421,AS110,2.16,1.097093023,0.807692307,0.192307693,0.3993,0.076788462,125,14.18250324
dopa,QR179,0.010126582,QR179,2.11,0.70125,0.111111112,0.888888888,0.1979,0.175911111,125,7.195809165
h2o2,AS30,0.001780063,AS30,4.44,2.257845659,0.571428571,0.428571429,0.3537,0.151585714,125,1.467868611
h2o2,AS110,0.024752769,AS110,2.16,1.097093023,0.807692307,0.192307693,0.3993,0.076788462,125,40.29376345
h2o2,QR179,0.012252769,QR179,2.11,0.70125,0.111111112,0.888888888,0.1979,0.175911111,125,8.706648004
dopa,QR115,-0.00169106,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,-2.414420512
dopa,CO54,-0.01393394,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,-17.09957386
dopa,AS172,-0.026997627,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,-16.19198138
h2o2,QR115,0.013132911,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,18.75058737
h2o2,CO54,0.008366297,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,10.26702589
h2o2,AS172,0.019966377,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,11.97494887
dopa,AS66,-0.007456487,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,-22.00332667
dopa,AS37,0.003204114,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,1.246542921
dopa,QR127,-0.038548259,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,-39.69137098
h2o2,AS66,0.035947389,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,106.0770457
h2o2,AS37,0.013202136,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,5.136218517
h2o2,QR127,0.002501978,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,2.57617159
dopa,QR124,0.008020174,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,5.358786382
dopa,AS94,-0.007565269,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,-7.229805989
dopa,QR120,-0.025998813,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,-17.05958877
h2o2,QR124,0.005943434,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,3.971184483
h2o2,AS94,0.014121835,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,13.49563785
h2o2,QR120,0.005765427,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,3.783088724
dopa,CO165,-0.021014636,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,-13.85458602
dopa,CO52,-0.023664953,CO52,1.82,0.225454545,0.764705883,0.235294117,0.2304,0.054211764,125,-54.56599912
dopa,AS40,-0.039754747,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,-52.78112963
h2o2,CO165,0.005943434,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,3.918402917
h2o2,CO52,0.008128956,CO52,1.82,0.225454545,0.764705883,0.235294117,0.2304,0.054211764,125,18.74352331
h2o2,AS40,0.018928006,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,25.13011993
dopa,QR75,-0.015308544,QR75,3.98,4.443333333,0.285714286,0.714285714,0.1899,0.135642857,125,-14.10739998
dopa,AS49,-0.02616693,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,-46.93656372
dopa,CO54,-0.044422468,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,-54.51475215
h2o2,QR75,0.005518196,QR75,3.98,4.443333333,0.285714286,0.714285714,0.1899,0.135642857,125,5.085225574
h2o2,AS49,0.00794106,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,14.24416503
h2o2,CO54,-0.007100475,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,-8.713622449
dopa,AS69,0.021657437,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,48.99251839
dopa,QR83,0.019284019,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,12.72269872
dopa,QR118,0.004717168,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,2.56323233
h2o2,AS69,0.009187104,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,20.78267104
h2o2,QR83,0.014200949,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,9.36912583
h2o2,QR118,0.005033623,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,2.735189216
dopa,QR102,0.020480617,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,25.05977517
dopa,CO133,0.002887658,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,3.350788787
dopa,QR141,-0.008712421,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,-6.170169873
h2o2,QR102,0.056724684,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,69.40747
h2o2,CO133,0.000415348,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,0.481962771
h2o2,QR141,0.007753165,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,5.490820863
dopa,AS65,-0.005903877,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,-4.524340515
dopa,QR51,-0.019946598,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,-14.83886342
dopa,CO161,-0.025079114,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,-21.25348638
h2o2,AS65,0.025494462,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,19.53726943
h2o2,QR51,0.010917722,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,8.122015477
h2o2,CO161,0.00898932,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,7.618067475
dopa,CO157,-0.004756725,CO157,4,3.669087591,0,1,0.1603,0.1603,125,-3.709236341
dopa,AS41,-0.023585839,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,-25.97886308
dopa,CO10,-0.020005934,CO10,4,3.499191176,0,1,0.159,0.159,125,-15.72793518
h2o2,CO157,0.017197389,CO157,4,3.669087591,0,1,0.1603,0.1603,125,13.410316
h2o2,AS41,0.01328125,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,14.6287686
h2o2,CO10,0.009078323,CO10,4,3.499191176,0,1,0.159,0.159,125,7.137046214
dopa,CO32,-0.018601661,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,-18.60166139
dopa,AS57,-0.00494462,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,-9.280443418
dopa,CO15,-0.031803797,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,-40.82335825
h2o2,CO32,-0.007950949,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,-7.950949367
h2o2,AS57,0.048941851,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,91.85782895
h2o2,CO15,0.01340981,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,17.21283389
dopa,CO189,-0.002096519,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,-1.09421659
dopa,CO12,-0.013004351,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,-10.2356169
dopa,QR178,-0.024812104,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,-14.92547187
h2o2,CO189,0.003896361,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,2.033591211
h2o2,CO12,0.003916139,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,3.082360677
h2o2,QR178,0.002412975,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,1.451500652
dopa,AS141,-0.001849288,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,-0.645340583
dopa,AS163,-0.015120649,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,-5.567249166
dopa,QR18,-0.030933544,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,-29.17524935
h2o2,AS141,0.006230222,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,2.174142071
h2o2,AS163,0.00364913,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,1.343567653
h2o2,QR18,0.001532832,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,1.445704492
dopa,CO196,-0.012935127,CO196,5.42,3.872451456,0.2,0.8,0.2263,0.18104,125,-8.931124739
dopa,AS132,-0.018473101,AS132,4.36,2.867514793,0,1,0.1971,0.1971,125,-11.71556397
dopa,AS26,-0.033504747,AS26,3.99,2.59,0.125,0.875,0.2034,0.177975,125,-23.5319194
h2o2,CO196,0.000949367,CO196,5.42,3.872451456,0.2,0.8,0.2263,0.18104,125,0.655495394
h2o2,AS132,0.000613133,AS132,4.36,2.867514793,0,1,0.1971,0.1971,125,0.388846342
h2o2,AS26,0.001572389,AS26,3.99,2.59,0.125,0.875,0.2034,0.177975,125,1.104361034
dopa,CO144,0.003362342,CO144,3.75,3.627909836,0,1,0.1934,0.1934,125,2.173178498
dopa,QR11,-0.045895965,QR11,5.04,3.323660477,0.333333333,0.666666667,0.2149,0.143266667,125,-40.04417614
dopa,CO179,-0.035888054,CO179,4.92,3.687768595,0.428571429,0.571428571,0.3238,0.185028571,125,-24.24494066
h2o2,CO144,0.00625,CO144,3.75,3.627909836,0,1,0.1934,0.1934,125,4.039555326
h2o2,QR11,0.012153877,QR11,5.04,3.323660477,0.333333333,0.666666667,0.2149,0.143266667,125,10.60424315
h2o2,CO179,0.015723892,CO179,4.92,3.687768595,0.428571429,0.571428571,0.3238,0.185028571,125,10.62261109
dopa,CO155,0.01340981,CO155,4.7,3.563647059,0.1,0.9,0.2278,0.20502,125,8.175915841
dopa,QR1,0.013360364,QR1,4.6,3.07373494,0,1,0.2026,0.2026,125,8.243067574
dopa,QR126,-0.00234375,QR126,1.46,0.06,0.285714283,0.714285717,0.2249,0.160642858,125,-1.823727202
h2o2,CO155,0.010096915,CO155,4.7,3.563647059,0.1,0.9,0.2278,0.20502,125,6.156054627
h2o2,QR1,-0.014210839,QR1,4.6,3.07373494,0,1,0.2026,0.2026,125,-8.767792823
h2o2,QR126,0.003748022,QR126,1.46,0.06,0.285714283,0.714285717,0.2249,0.160642858,125,2.916424513
dopa,AS167,0.002145965,AS167,4.16,2.935191638,0,1,0.2244,0.2244,125,1.195390592
dopa,QR41,-0.002126187,QR41,3.69,3.945092251,0.307692308,0.692307692,0.1421,0.098376923,125,-2.701582144
dopa,CO107,-0.015714003,CO107,6.73,3.719668508,0.2,0.8,0.3281,0.26248,125,-7.483428816
h2o2,AS167,0.000692247,AS167,4.16,2.935191638,0,1,0.2244,0.2244,125,0.385609868
h2o2,QR41,0.003006329,QR41,3.69,3.945092251,0.307692308,0.692307692,0.1421,0.098376923,125,3.819911497
h2o2,CO107,-0.000603244,CO107,6.73,3.719668508,0.2,0.8,0.3281,0.26248,125,-0.287280779
dopa,QR36,0.017939082,QR36,5.28,3.752380952,0.125,0.875,0.317,0.277375,125,8.084309274
dopa,CO128,0.009157437,CO128,3.99,3.440848708,0,1,0.2168,0.2168,125,5.279887401
dopa,QR204,-0.003105222,QR204,4.15,3.587237762,0,1,0.204,0.204,125,-1.902709264
h2o2,QR36,0.002759098,QR36,5.28,3.752380952,0.125,0.875,0.317,0.277375,125,1.243397071
h2o2,CO128,0.000603244,CO128,3.99,3.440848708,0,1,0.2168,0.2168,125,0.347811157
h2o2,QR204,0.000830696,QR204,4.15,3.587237762,0,1,0.204,0.204,125,0.509005026
dopa,QR174,0.010354035,QR174,3.85,3.565898438,0,1,0.223,0.223,125,5.803831172
dopa,QR168,-0.017236946,QR168,3.29,3.76137931,0.1,0.9,1661,1494.9,125,-0.001441313
dopa,CO73,-0.002719541,CO73,4.13,3.559157895,0.25,0.75,0.1663,0.124725,125,-2.725537321
h2o2,QR174,-0.002432753,QR174,3.85,3.565898438,0,1,0.223,0.223,125,-1.363650877
h2o2,QR168,0.001789953,QR168,3.29,3.76137931,0.1,0.9,1661,1494.9,125,0.000149672
h2o2,CO73,-0.001018592,CO73,4.13,3.559157895,0.25,0.75,0.1663,0.124725,125,-1.020837615
dopa,CO173,0.021845332,CO173,4.39,2.926319218,0.166666666,0.833333334,0.2603,0.216916667,125,12.58855104
dopa,CO113,0.010848497,CO113,4.09,3.4875,0.333333333,0.666666667,0.2375,0.158333333,125,8.564602783
dopa,CO152,-0.004321598,CO152,3.51,2.591210762,0.222222222,0.777777778,0.3668,0.285288889,125,-1.893518407
h2o2,CO173,0.003866693,CO173,4.39,2.926319218,0.166666666,0.833333334,0.2603,0.216916667,125,2.228213426
h2o2,CO113,-0.00038568,CO113,4.09,3.4875,0.333333333,0.666666667,0.2375,0.158333333,125,-0.304484511
h2o2,CO152,-0.00351068,CO152,3.51,2.591210762,0.222222222,0.777777778,0.3668,0.285288889,125,-1.538212894
dopa,AS133,-0.019738924,AS133,5.22,2.6756743,0.333333333,0.666666667,0.2178,0.1452,125,-16.99287539
dopa,AS156,-0.023160601,AS156,4.39,2.956116505,0.833333333,0.166666667,0.251,0.041833333,125,-69.20498441
dopa,AS35,-0.036787975,AS35,3.99,2.65260223,0.5,0.5,0.1655,0.08275,125,-55.57095874
h2o2,AS133,0.00924644,AS133,5.22,2.6756743,0.333333333,0.666666667,0.2178,0.1452,125,7.960089423
h2o2,AS156,0.01315269,AS156,4.39,2.956116505,0.833333333,0.166666667,0.251,0.041833333,125,39.30086647
h2o2,AS35,0.002788766,AS35,3.99,2.65260223,0.5,0.5,0.1655,0.08275,125,4.212637195
dopa,AS14,-0.018413766,AS14,4.8,3.225714286,0.272727273,0.727272727,0.3229,0.234836364,125,-9.80138122
dopa,AS31,-0.013370253,AS31,3.92,2.871863118,0.2,0.8,0.2161,0.17288,125,-9.667293184
dopa,CO199,-0.02825356,CO199,4.01,3.801648352,0,1,0.27,0.27,125,-13.08035191
h2o2,AS14,0.008475079,AS14,4.8,3.225714286,0.272727273,0.727272727,0.3229,0.234836364,125,4.511162033
h2o2,AS31,0.015437104,AS31,3.92,2.871863118,0.2,0.8,0.2161,0.17288,125,11.16171942
h2o2,CO199,0.005706092,CO199,4.01,3.801648352,0,1,0.27,0.27,125,2.641709154
dopa,AS167,-0.014349288,AS167,4.16,2.935191638,0,1,0.2244,0.2244,125,-7.993141697
dopa,QR41,-0.01444818,QR41,3.69,3.945092251,0.307692308,0.692307692,0.1421,0.098376923,125,-18.35819308
dopa,CO107,-0.025998813,CO107,6.73,3.719668508,0.2,0.8,0.3281,0.26248,125,-12.38133062
h2o2,AS167,0.003975475,AS167,4.16,2.935191638,0,1,0.2244,0.2244,125,2.214502386
h2o2,QR41,0.005557753,QR41,3.69,3.945092251,0.307692308,0.692307692,0.1421,0.098376923,125,7.061810071
h2o2,CO107,0.007021361,CO107,6.73,3.719668508,0.2,0.8,0.3281,0.26248,125,3.343759886
dopa,QR32,0.00963212,QR32,4,3.796309963,0,1,0.1936,0.1936,125,6.219085907
dopa,AS70,-0.002541535,AS70,4.2,2.823230241,0.25,0.75,0.2163,0.162225,125,-1.958340892
dopa,QR202,-0.026542722,QR202,4.01,4.048235294,0,1,0.2602,0.2602,125,-12.75111526
h2o2,QR32,0.002976661,QR32,4,3.796309963,0,1,0.1936,0.1936,125,1.921914639
h2o2,AS70,0.005775316,AS70,4.2,2.823230241,0.25,0.75,0.2163,0.162225,125,4.450082028
h2o2,QR202,0.007525712,QR202,4.01,4.048235294,0,1,0.2602,0.2602,125,3.615349743
dopa,AS166,0.017256725,AS166,5.34,3.014851485,0.333333333,0.666666667,0.3061,0.204066667,125,10.57051902
dopa,AS76,-0.004222706,AS76,4.01,2.335384615,0.25,0.75,0.2446,0.18345,125,-2.87728652
dopa,QR63,-0.008188291,QR63,5.21,3.497142857,0,1,0.2773,0.2773,125,-3.69107967
h2o2,AS166,0.007021361,AS166,5.34,3.014851485,0.333333333,0.666666667,0.3061,0.204066667,125,4.300898857
h2o2,AS76,0.006981804,AS76,4.01,2.335384615,0.25,0.75,0.2446,0.18345,125,4.757293402
h2o2,QR63,0.00820807,QR63,5.21,3.497142857,0,1,0.2773,0.2773,125,3.699995321
dopa,AS39,-0.002759098,AS39,4.26,2.931672241,0,1,0.2036,0.2036,125,-1.693945298
dopa,QR180,-0.007327927,QR180,3.01,3.779069767,0.285714286,0.714285714,0.2501,0.178642857,125,-5.127498056
dopa,QR144,-0.028303006,QR144,3.74,3.771851852,0,1,0.2824,0.2824,125,-12.52788878
h2o2,AS39,0.004064478,AS39,4.26,2.931672241,0,1,0.2036,0.2036,125,2.495381783
h2o2,QR180,0.005804984,QR180,3.01,3.779069767,0.285714286,0.714285714,0.2501,0.178642857,125,4.061864182
h2o2,QR144,0.003540348,QR144,3.74,3.771851852,0,1,0.2824,0.2824,125,1.567080427
dopa,AS12,0.010037579,AS12,5.15,2.212248062,0.833333333,0.166666667,0.1617,0.02695,125,46.5564894
dopa,AS128,0.007080696,AS128,4.07,3.018844765,0.333333333,0.666666667,0.3185,0.212333333,125,4.168384741
h2o2,AS12,-0.001335047,AS12,5.15,2.212248062,0.833333333,0.166666667,0.1617,0.02695,125,-6.192242432
h2o2,AS128,0.003589794,AS128,4.07,3.018844765,0.333333333,0.666666667,0.3185,0.212333333,125,2.113301203
dopa,AS68,0.017395174,AS68,4,2.540590406,0.142857143,0.857142857,0.3728,0.319542857,125,6.804710882
dopa,CO190,-0.00273932,CO190,4,3.694301471,0.142857143,0.857142857,0.1607,0.137742857,125,-2.485899886
dopa,AS146,-0.007792722,AS146,3.98,2.611375465,0,1,0.2718,0.2718,125,-3.583849117
h2o2,AS68,0.006942247,AS68,4,2.540590406,0.142857143,0.857142857,0.3728,0.319542857,125,2.715694735
h2o2,CO190,0.008109177,CO190,4,3.694301471,0.142857143,0.857142857,0.1607,0.137742857,125,7.358981612
h2o2,AS146,0.001414161,AS146,3.98,2.611375465,0,1,0.2718,0.2718,125,0.650368558
dopa,AS24,-0.010067247,AS24,3.98,2.843796992,0.222222222,0.777777778,0.3048,0.237066667,125,-5.308236161
dopa,QR142,-0.025682358,QR142,4.15,3.691258741,0.125,0.875,0.1922,0.168175,125,-19.08901263
h2o2,AS24,0.000445016,AS24,3.98,2.843796992,0.222222222,0.777777778,0.3048,0.237066667,125,0.234646982
h2o2,QR142,0.002403085,QR142,4.15,3.691258741,0.125,0.875,0.1922,0.168175,125,1.78614943
dopa,CO118,0.004855617,CO118,4.82,3.730909091,0.3,0.7,0.3782,0.26474,125,2.292634797
dopa,QR2,0.013380142,QR2,4.34,4.120131148,0.166666667,0.833333333,0.3221,0.268416667,125,6.231050476
dopa,AS48,-0.007871835,AS48,5.25,2.940429293,0.5,0.5,0.335,0.1675,125,-5.874504062
h2o2,CO118,0.003926028,CO118,4.82,3.730909091,0.3,0.7,0.3782,0.26474,125,1.85371897
h2o2,QR2,-0.001780063,QR2,4.34,4.120131148,0.166666667,0.833333333,0.3221,0.268416667,125,-0.828964587
h2o2,AS48,-0.001789953,AS48,5.25,2.940429293,0.5,0.5,0.335,0.1675,125,-1.335785471
dopa,CO132,-0.003846915,CO132,4.25,3.2775,0.5,0.5,0.218,0.109,125,-4.411599263
dopa,CO106,-0.012163766,CO106,4.23,3.241216216,0.222222222,0.777777778,0.2703,0.210233333,125,-7.232300921
dopa,QR90,-0.028214003,QR90,3.94,3.926917293,0,1,0.1658,0.1658,125,-21.27111216
h2o2,CO132,0.003688687,CO132,4.25,3.2775,0.5,0.5,0.218,0.109,125,4.230145308
h2o2,CO106,0.002017405,CO106,4.23,3.241216216,0.222222222,0.777777778,0.2703,0.210233333,125,1.199503567
h2o2,QR90,0.003431566,QR90,3.94,3.926917293,0,1,0.1658,0.1658,125,2.587127907
dopa,AS27,0.006912579,AS27,5.42,5.731084337,0.777777778,0.222222222,0.3278,0.072844444,125,11.86188461
dopa,CO180,-0.007001582,CO180,3.97,2.55762963,0,1,0.2793,0.2793,125,-3.133540225
dopa,QR157,-0.008929984,QR157,4.37,4.435598706,0.285714286,0.714285714,0.2406,0.171857143,125,-6.495208769
h2o2,AS27,0.022814478,AS27,5.42,5.731084337,0.777777778,0.222222222,0.3278,0.072844444,125,39.14931015
h2o2,CO180,0.002857991,CO180,3.97,2.55762963,0,1,0.2793,0.2793,125,1.279086335
h2o2,QR157,0.002927215,QR157,4.37,4.435598706,0.285714286,0.714285714,0.2406,0.171857143,125,2.129104978
dopa,CO74,-0.011817642,CO74,4.2,3.572646048,0,1,0.1456,0.1456,125,-10.1456408
dopa,AS123,-0.008346519,AS123,3.96,2.992238806,0,1,0.2114,0.2114,125,-4.935264302
dopa,QR57,-0.028006329,QR57,3.53,3.980533333,0,1,0.1945,0.1945,125,-17.99892617
h2o2,CO74,0.000464794,CO74,4.2,3.572646048,0,1,0.1456,0.1456,125,0.399033571
h2o2,AS123,-0.004469937,AS123,3.96,2.992238806,0,1,0.2114,0.2114,125,-2.643056238
h2o2,QR57,0.001513054,QR57,3.53,3.980533333,0,1,0.1945,0.1945,125,0.972399613
dopa,AS204,-0.030765427,AS204,4.07,2.712841727,0.222222222,0.777777778,0.1346,0.104688889,125,-36.73435107
dopa,QR154,-0.028115111,QR154,4.79,3.692857143,0.428571428,0.571428572,0.1803,0.103028571,125,-34.1108181
dopa,QR129,-0.045579509,QR129,4.38,3.180868167,0.1,0.9,0.2071,0.18639,125,-30.56729807
h2o2,AS204,-0.000415348,AS204,4.07,2.712841727,0.222222222,0.777777778,0.1346,0.104688889,125,-0.495931451
h2o2,QR154,0.00885087,QR154,4.79,3.692857143,0.428571428,0.571428572,0.1803,0.103028571,125,10.7383687
