Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
QR115,bxyl,0.183057678,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,261.3616195
CO54,bxyl,0.076357992,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,93.70566688
AS172,bxyl,0.180273798,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,108.120244
QR115,bcell,0.79750574,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,1138.643262
CO54,bcell,0.663447459,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,814.175239
AS172,bcell,1.128377089,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,676.750631
AS66,phos,5.686680441,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,16780.80867
AS37,phos,4.366908832,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,1698.921892
QR127,phos,4.245663492,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,4371.564551
AS66,bglu,5.00455804,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,14767.93567
AS37,bglu,6.811884951,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,2650.126421
QR127,bglu,6.5964795,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,6792.091743
AS66,lap,-0.077384593,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,-228.3539698
AS37,lap,-0.098508652,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,-38.32424982
QR127,lap,-0.149064769,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,-153.4851411
AS66,nag,2.224048596,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,6562.938492
AS37,nag,1.651498103,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,642.5062648
QR127,nag,1.197419332,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,1232.927648
AS66,bxyl,0.174893846,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,516.0937374
AS37,bxyl,0.142287063,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,55.35600026
QR127,bxyl,0.071733222,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,73.86040159
AS66,bcell,1.107829768,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,3269.09162
AS37,bcell,1.224785554,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,476.4960917
QR127,bcell,0.455546332,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,469.0551197
QR124,phos,3.677764487,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,2457.34745
AS94,phos,10.28246015,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,9826.510086
QR120,phos,7.756585822,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,5089.623243
QR124,bglu,4.087850502,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,2731.351896
AS94,bglu,8.33635371,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,7966.698882
QR120,bglu,5.611598243,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,3682.151078
QR124,lap,0.094723048,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,63.29046934
AS94,lap,0.089591873,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,85.61914438
QR120,lap,0.126732705,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,83.15794294
QR124,nag,1.843879768,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,1232.012887
AS94,nag,5.304563975,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,5069.346306
QR120,nag,2.955140325,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,1939.068455
QR124,bxyl,0.114390637,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,76.43163184
AS94,bxyl,0.318575887,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,304.4494335
QR120,bxyl,0.167445344,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,109.8722729
QR124,bcell,0.592224012,QR124,4.82,7.776101695,0.4,0.6,0.3118,0.18708,125,395.7023813
AS94,bcell,2.337529783,AS94,4.19,4.68,0.625,0.375,0.3488,0.1308,125,2233.87785
QR120,bcell,1.196605492,QR120,5.41,7.068567961,0.4,0.6,0.3175,0.1905,125,785.1742076
QR73,phos,2.623564821,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,1949.4049
AS49,phos,2.743748101,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,4921.559606
CO54,phos,3.074517179,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,3773.012806
QR73,bglu,2.632940534,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,1956.371399
AS49,bglu,8.599123343,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,15424.55668
CO54,bglu,8.664367319,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,10632.81385
QR73,lap,0.14805835,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,110.0127852
AS49,lap,Inf,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,Inf
CO54,lap,0.050242928,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,61.65755432
QR73,nag,0.954445816,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,709.1882528
AS49,nag,2.759539614,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,4949.885411
CO54,nag,13.34237945,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,16373.61758
