SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
QR95	3.87	2.5	0.083333333	0.916666667	0.3469	0.317991667	125
QR96	4.3	3.717275748	0.363636364	0.636363636	0.2629	0.1673	125
QR97	3.63	1.857234043	0	1	0.3038	0.3038	125
QR98	3.42	5.138790698	0.71875	0.28125	0.2028	0.0570375	125
QR99	3.48	2.875909091	0.518518518	0.481481482	0.4561	0.219603704	125
QR100	4.77	3	0.368421053	0.631578947	0.2613	0.165031579	125
QR101	3.8	2.034741036	0.181818182	0.818181818	0.2427	0.198572727	125
QR102	4.01	10.35854015	0.705882353	0.294117647	0.34734	0.102158823	125
QR103	3.14	2.505073171	0.111111111	0.888888889	0.1954	0.173688889	125
QR104	3.06	1.816363636	0.3	0.7	0.2471	0.17297	125
QR105	3.32	2.794079602	0.782608696	0.217391304	0.2031	0.044152174	125
QR106	3.57	2.315154185	0.142857143	0.857142857	0.3305	0.283285714	125
QR107	3.1	2.588461538	0.2	0.8	0.2911	0.23288	125
QR108	3.16	1.425957447	0.681818182	0.318181818	0.2347	0.074677273	125
QR109	5.09	3.981530343	0.307692308	0.692307692	0.19475	0.134826923	125
QR110	5.45	4.189661836	0	1	0.2368	0.2368	125
QR111	3.99	1.508740741	0	1	0.2651	0.2651	125
QR112	3.21	5.30984456	0.7	0.3	0.2344	0.07032	125
QR113	3.56	1.466017699	0.25	0.75	0.2607	0.195525	125
QR114			#DIV/0!	#DIV/0!		#DIV/0!	125
QR115	5.24	7.833265823	0.75	0.25	0.3502	0.08755	125
QR116	2.45	0.448275862	0.454545454	0.545454546	0.3395	0.185181819	125
QR117	4.31	6.159801325	0.607142857	0.392857143		0	125
QR118	4.15	3.674479167	0	1	0.23004	0.23004	125
QR119	2.3	1.4554	0.111111111	0.888888889	0.2729	0.242577778	125
QR120	5.41	7.068567961	0.4	0.6	0.3175	0.1905	125
QR121	1.74	0.294782609	0.375000002	0.624999998	0.1804	0.11275	125
QR122	2.45	0.882608696	0.470588236	0.529411764	0.2114	0.111917647	125
QR123	2.55	0.64952381	0.692307692	0.307692308	0.3753	0.115476923	125
QR124	4.82	7.776101695	0.4	0.6	0.3118	0.18708	125
QR125	3.3	2.800990099	0.1	0.9	0.2052	0.18468	125
QR126	1.46	0.06	0.285714283	0.714285717	0.2249	0.160642858	125
QR127	4.1	7.56	0.6	0.4	0.3035	0.1214	125
QR128	2.22	1.305691057	0.222222222	0.777777778	0.265	0.206111111	125
QR129	4.38	3.180868167	0.1	0.9	0.2071	0.18639	125
QR130	4.4	2.776688103	0.444444444	0.555555556	0.19602	0.1089	125
QR131	3.24	2.244848485	0.222222222	0.777777778	0.2322	0.1806	125
QR132	3.18	2.306137566	0.090909091	0.909090909	0.2232	0.202909091	125
QR133	2.88	0.73425	0.588235295	0.411764705	0.3526	0.145188235	125
QR134	3.25	1.000204082	0.076923077	0.923076923	0.3495	0.322615384	125
QR135	4.61	4.302972973	0.5	0.5	0.20386	0.10193	125
QR136	4.19	4.072724138	0.333333333	0.666666667	0.1616	0.107733333	125
QR137	3.53	2.0767713	0	1	0.3147	0.3147	125
QR138	1.46	7.877647059	0.647058824	0.352941176	0.2972	0.104894118	125
QR139	3.61	7.378608696	0.653846154	0.346153846	0.2033	0.070373077	125
QR140	2.94	1.622564103	0.142857143	0.857142857	0.2731	0.234085714	125
QR141	3.91	4.041368821	0.142857143	0.857142857	0.20592	0.176502857	125
QR142	4.15	3.691258741	0.125	0.875	0.1922	0.168175	125
QR143	4.04	0.897536232	0	1		0	125
QR144	3.74	3.771851852	0	1	0.2824	0.2824	125
QR145	3.28	1.3875	0.142857143	0.857142857	0.249	0.213428571	125
QR146	3.07	1.097206704	0.181818182	0.818181818	0.02577	0.021084545	125
QR147	3.97	7.593258427	0.545454545	0.454545455	0.2339	0.106318182	125
QR148	2.04	1.186486486	0.133333333	0.866666667	3075	2665	125
QR149	2.17	1.287640449	0.153846153	0.846153847	0.1982	0.167707692	125
QR150	2.09	0.875925926	-0.083333333	1.083333333	0.2092	0.226633333	125
QR151	3.33	1.049560976	0.400000001	0.599999999	0.2265	0.1359	125
QR152	3.64	3.79809322	0.222222222	0.777777778	0.2268	0.1764	125
QR153	3.17	1.227606383	0.5	0.5	0.3264	0.1632	125
QR154	4.79	3.692857143	0.428571428	0.571428572	0.1803	0.103028571	125
QR155	2.03	0.979759036	0.25	0.75		0	125
QR156	2.49	0.3885	0.090909091	0.909090909	0.1861	0.169181818	125
QR157	4.37	4.435598706	0.285714286	0.714285714	0.2406	0.171857143	125
QR158	2.03	0.6256	-0.2	1.2	0.1971	0.23652	125
QR159	4.04	5.267625899	0.111111111	0.888888889	0.1551	0.137866667	125
