SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
CO201	2.03	0.552911392	0.066666666	0.933333334	0.1868	0.174346667	125
CO202			#DIV/0!	#DIV/0!		#DIV/0!	125
CO203	1.65	0.14	0.090909093	0.909090907		0	125
CO204	1.42	0.046428571	4.000000022	-3.000000022		0	125
AS1	3.21	1.687724868	0.181818182	0.818181818	0.2493	0.203972727	125
AS2	1.79	0.2096	0.166666665	0.833333335	0.2035	0.169583334	125
AS3	3.78	0.54472	0.1	0.9		0	125
AS4	4.17	2.630833333	0	1	0.2494	0.2494	125
AS5	4.43	2.933333333	0	1	0.2281	0.2281	125
AS6	2	0.133098592	0.125	0.875	0.2042	0.178675	125
AS7	2.34	0.551730769	0.222222221	0.777777779	0.2443	0.190011111	125
AS8	2.43	0.413839286	0	1	0.2677	0.2677	125
AS9	3.78	2.34304	0.142857143	0.857142857	0.2356	0.201942857	125
AS10	2.06	0.148571429	0.125000003	0.874999997		0	125
AS11	3.55	1.493303965	0.090909091	0.909090909	0.2594	0.235818182	125
AS12	5.15	2.212248062	0.833333333	0.166666667	0.1617	0.02695	125
AS13	2.09	0.584074074	0.142857142	0.857142858	0.3049	0.261342857	125
AS14	4.8	3.225714286	0.272727273	0.727272727	0.3229	0.234836364	125
AS15	3.87	0.80077821	0.555555555	0.444444445	0.37	0.164444445	125
AS16	2.54	1.390327869	0.3	0.7	0.3254	0.22778	125
AS17	1.25	0.13	0	1		0	125
AS18	3	0.438235294	0	1	0.2179	0.2179	125
AS19	2.99	0.414035088	0.200000001	0.799999999	0.2955	0.2364	125
AS20	4.08	2.509784946	0.111111111	0.888888889	0.1987	0.176622222	125
AS21	2.84	0.752903226	0.400000001	0.599999999	0.2276	0.13656	125
AS22	2.36	1.634285714	0.111111111	0.888888889	0.2597	0.230844445	125
AS23	3	1.028901734	0	1	0.252	0.252	125
AS24	3.98	2.843796992	0.222222222	0.777777778	0.3048	0.237066667	125
AS25	3.02	0.792485549	0.499999999	0.500000001	0.3034	0.1517	125
AS26	3.99	2.59	0.125	0.875	0.2034	0.177975	125
AS27	5.42	5.731084337	0.777777778	0.222222222	0.3278	0.072844444	125
AS28	5.34	2.420965347	0	1	0.2692	0.2692	125
AS29	3.14	1.379032258	0.2	0.8	0.2931	0.23448	125
AS30	4.44	2.257845659	0.571428571	0.428571429	0.3537	0.151585714	125
AS31	3.92	2.871863118	0.2	0.8	0.2161	0.17288	125
AS32	5.45	5.985542169	0.6	0.4	0.443	0.1772	125
AS33	3.15	1.127903226	0.142857143	0.857142857	0.2335	0.200142857	125
AS34	3.12	1.037213115	0.363636364	0.636363636	0.2748	0.174872727	125
AS35	3.99	2.65260223	0.5	0.5	0.1655	0.08275	125
AS36	3.88	1.364980545	0.266666667	0.733333333	0.3572	0.261946667	125
AS37	3.99	3.392397004	0	1	0.3213	0.3213	125
AS38	2.04	0.3024	0.961538462	0.038461538		0	125
AS39	4.26	2.931672241	0	1	0.2036	0.2036	125
AS40	3.92	3.813664122	0.5	0.5	0.1883	0.09415	125
AS41	4.02	2.702324723	0.428571429	0.571428571	0.1986	0.113485714	125
AS42	4.32	6.145313531	0.8125	0.1875	0.2878	0.0539625	125
AS43	3	1.278953488	0.111111111	0.888888889	0.2791	0.248088889	125
AS44			#DIV/0!	#DIV/0!		#DIV/0!	125
AS45	1.58	0.217241379	0.250000001	0.749999999	0.2041	0.153075	125
AS46	2.12	1.531084337	0.272727272	0.727272728	0.277	0.201454546	125
AS47	1.58	0.355862069	0.599999999	0.400000001		0	125
AS48	5.25	2.940429293	0.5	0.5	0.335	0.1675	125
AS49	4.02	10.49573529	0.826086956	0.173913044	0.4007	0.069686957	125
AS50	2.8	1.812763158	0.5	0.5	0.2583	0.12915	125
AS51	1.73	-1.297608696	0.272727273	0.727272727	0.1688	0.122763636	125
AS52	2.1	0.13	0.125	0.875		0	125
AS53	2.4	1.036363636	0.65	0.35	0.2657	0.092995	125
AS54	3.11	2.604808743	0.689655173	0.310344827	0.2275	0.070603448	125
AS55	2.22	1.696808511	0.333333333	0.666666667	0.3098	0.206533333	125
AS56	2.25	0.453229167	0.611111111	0.388888889	0.4146	0.161233333	125
AS57	4.04	7.420289855	0.8	0.2	0.333	0.0666	125
AS58	5.43	3.511815981	0	1		0	125
AS59	3.25	0.922538071	0	1	0.3177	0.3177	125
AS60	4.48	2.171	0.307692308	0.692307692	0.3174	0.219738462	125
AS61	6.32	3.762599206	0.25	0.75	0.20993	0.1574475	125
AS62	2.37	0.232149533	0.200000002	0.799999998	0.2197	0.17576	125
AS63	2.91	2.377300613	0.384615384	0.615384616	0.2842	0.174892308	125
AS64			#DIV/0!	#DIV/0!		#DIV/0!	125
AS65	3.95	3.202406015	0.142857143	0.857142857	0.1903	0.163114286	125
AS66	7.1	11.77718696	0.866666667	0.133333333	0.3177	0.04236	125
AS67	3.49	1.481136364	0.375	0.625	0.2501	0.1563125	125
AS68	4	2.540590406	0.142857143	0.857142857	0.3728	0.319542857	125
AS69	4.02	7.907372263	0.85	0.15	0.36838	0.055257	125
AS70	4.2	2.823230241	0.25	0.75	0.2163	0.162225	125
AS71	1.8	0.1802	0.647058824	0.352941176		0	125
AS72	2.14	0.456904762	0.230769232	0.769230768	0.2797	0.215153846	125
AS73	3.29	1.647761194	0.3125	0.6875	0.2214	0.1522125	125
AS74	3.97	2.8375	0.166666667	0.833333333	0.2335	0.194583333	125
AS75	3.16	2.042659574	0.5	0.5	0.3127	0.15635	125
AS76	4.01	2.335384615	0.25	0.75	0.2446	0.18345	125
AS77	3.23	1.731139896	0.1	0.9	0.3304	0.29736	125
AS78	3.53	2.4592	0.590909091	0.409090909	0.3395	0.138886364	125
AS79	3.51	1.114932127	0.222222222	0.777777778	0.2727	0.2121	125
AS80	2.72	0.684722222	0.709677419	0.290322581	0.4622	0.134187097	125
AS81	3.51	2.020580357	0	1	0.2753	0.2753	125
AS82	1.94	0.273787879	0.200000001	0.799999999	0.2855	0.2284	125
AS83	1.9	0.794098361	0	1	0.3973	0.3973	125
AS84	4.54	2.060092593	0.142857143	0.857142857	0.2741	0.234942857	125
AS85	1.87	0.14	0.214285714	0.785714286		0	125
AS86	2.3	2.563663366	0.416666667	0.583333333	0.204	0.119	125
AS87	2.15	0.19	0.375	0.625	0.2999	0.1874375	125
AS88	1.55	0.08	0	1		0	125
AS89	3.92	0.398060837	0.250000002	0.749999998	0.3348	0.251099999	125
AS90			#DIV/0!	#DIV/0!		#DIV/0!	125
AS91	2	0.437183099	0.250000001	0.749999999	0.3184	0.2388	125
AS92			#DIV/0!	#DIV/0!		#DIV/0!	125
AS93	6.13	2.989958678	0.142857143	0.857142857	0.17169	0.147162857	125
AS94	4.19	4.68	0.625	0.375	0.3488	0.1308	125
AS95	2.87	0.778343949	0.400000001	0.599999999		0	125
AS96	4.17	3.125888502	0.4	0.6	0.2315	0.1389	125
AS97	2.76	1.601351351	0.357142857	0.642857143	0.2297	0.147664286	125
AS98	4.12	2.650918728	0.333333333	0.666666667	0.2672	0.178133333	125
AS99	3.94	1.603082707	0.230769231	0.769230769	0.346	0.266153846	125
AS100	2.28	1.416666667	0.181818182	0.818181818	0.2221	0.181718182	125
AS101	2.04	0.489210526	0.307692306	0.692307694	0.2019	0.139776923	125
AS102	1.43	0.057142857	0.800000007	0.199999993		0	125
AS103	2.02	0.392876712	0.400000001	0.599999999	0.2464	0.14784	125
AS104	3.16	1.752299465	0.1	0.9	0.279	0.2511	125
AS105	1.36	0.01	1	0		0	125
AS106	2.03	0.887466667	-0.142857142	1.142857142	0.8224	0.939885714	125
AS107			#DIV/0!	#DIV/0!		#DIV/0!	125
AS108	4.36	0.93732899	0.2	0.8	0.4188	0.33504	125
AS109			#DIV/0!	#DIV/0!		#DIV/0!	125
AS110	2.16	1.097093023	0.807692307	0.192307693	0.3993	0.076788462	125
AS111	7.65	2.92477237	0.272727272	0.727272728	0.22313	0.162276364	125
AS112	4.38	2.99483871	0	1	0.191	0.191	125
AS113	2.08	0.788961039	-0.166666666	1.166666666	0.2483	0.289683333	125
AS114	3.18	0.882978723	0.307692308	0.692307692	0.3204	0.221815385	125
AS115	1.99	0.14	0.090909093	0.909090907	0.4583	0.416636363	125
AS116	5.3	2.202	0	1		0	125
AS117	3.24	1.419183673	0.166666667	0.833333333	0.3698	0.308166667	125
AS118	3.56	1.984628821	0.272727273	0.727272727	0.2243	0.163127273	125
AS119	2.07	0.168205128	0	1		0	125
AS120	3.25	4.417085427	0.653846154	0.346153846	0.305	0.105576923	125
AS121	4.29	3.7525	0	1	0.1885	0.1885	125
AS122	4.39	2.308446602	0.125	0.875	0.2372	0.20755	125
AS123	3.96	2.992238806	0	1	0.2114	0.2114	125
AS124	3.13	2.097580645	0.222222222	0.777777778	0.2319	0.180366667	125
AS125	1.53	0.678	0.666666667	0.333333333	0.1762	0.058733333	125
AS126	2	0.342222222	0	1	0.1956	0.1956	125
AS127	2.92	1.038292683	0	1	0.2354	0.2354	125
AS128	4.07	3.018844765	0.333333333	0.666666667	0.3185	0.212333333	125
AS129	2.07	1.068987342	0.111111112	0.888888888	0.1974	0.175466667	125
AS130	4.14	3.107727273	0	1	0.2516	0.2516	125
AS131	2.9	0.812901235	0.2	0.8	0.197	0.1576	125
AS132	4.36	2.867514793	0	1	0.1971	0.1971	125
AS133	5.22	2.6756743	0.333333333	0.666666667	0.2178	0.1452	125
AS134	2.13	1.666506024	0.375	0.625	0.2166	0.135375	125
AS135	2.41	0.232300885	0.100000002	0.899999998	0.3372	0.303479999	125
AS136	2.37	0.682181818	0	1	0.366	0.366	125
AS137	1.4	0.03	0.333333333	0.666666667		0	125
AS138	2.14	1.042674419	0.25	0.75	0.2503	0.187725	125
AS139	2	2.646407767	0	1	0.3007	0.3007	125
AS140	3.46	1.946422018	0.25	0.75	0.2936	0.2202	125
AS141	4.18	3.026185567	0	1	0.3582	0.3582	125
AS142			#DIV/0!	#DIV/0!		#DIV/0!	125
AS143	3.09	1.266	0.222222222	0.777777778	0.2034	0.1582	125
AS144	3.05	3.2984	0	1	0.2428	0.2428	125
AS145	3.09	2.636022099	0.4375	0.5625	0.2596	0.146025	125
AS146	3.98	2.611375465	0	1	0.2718	0.2718	125
AS147	4.45	3.592176656	0.125	0.875	0.2517	0.2202375	125
AS148	4.66	1.846309524	0.111111111	0.888888889	0.2501	0.222311111	125
AS149	3.21	1.020833333	0	1	0.3295	0.3295	125
AS150			#DIV/0!	#DIV/0!		#DIV/0!	125
AS151	3.23	0.671658031	0.769230769	0.230769231	0.2655	0.061269231	125
AS152	2.76	0.429795918	0	1	0.152	0.152	125
AS153	3.95	3.415488722	0.75	0.25	0.21	0.0525	125
AS154	3.32	2.009655172	0.1	0.9	0.2567	0.23103	125
AS155	2.3	0.718431373	0	1	0.2148	0.2148	125
AS156	4.39	2.956116505	0.833333333	0.166666667	0.251	0.041833333	125
AS157	2.56	0.906692913	0.70967742	0.29032258	0.3137	0.091074193	125
AS158	2.67	0.827205882	0.142857143	0.857142857	0.2673	0.229114286	125
AS159	2.07	0.681558442	0.142857143	0.857142857	0.2311	0.198085714	125
AS160	3.13	0.596467391	0	1	0.3792	0.3792	125
AS161	3.13	0.919565217	0	1		0	125
AS162	3.22	1.395463918	0.25	0.75	0.1921	0.144075	125
AS163	4.89	2.608642659	0	1	0.3395	0.3395	125
AS164	3.2	1.320207254	0.2	0.8	0.326	0.2608	125
AS165	1.96	0.471470588	0	1	0.2409	0.2409	125
AS166	5.34	3.014851485	0.333333333	0.666666667	0.3061	0.204066667	125
AS167	4.16	2.935191638	0	1	0.2244	0.2244	125
AS168	2.26	0.315051546	0.22222222	0.77777778	0.2978	0.231622223	125
AS169	2.21	0.181086957	0	1	0.204	0.204	125
AS170	4.4	3.225	0	1	0.27582	0.27582	125
AS171	4.03	2.635897436	0	1	0.2554	0.2554	125
AS172	4.25	2.990340136	0.454545454	0.545454546	0.3821	0.208418182	125
AS173	2.1	0.344878049	0.249999999	0.750000001	0.2774	0.20805	125
AS174	1.94	1.033846154	0	1	0.1727	0.1727	125
AS175	3.9	3.027181467	0.333333333	0.666666667	0.2557	0.170466667	125
AS176	3.08	1.226815642	0.2	0.8	0.3047	0.24376	125
AS177	4.29	1.61187291	0.153846154	0.846153846	0.279	0.236076923	125
AS178	3.74	2.698340081	0	1	0.1787	0.1787	125
AS179			#DIV/0!	#DIV/0!		#DIV/0!	125
AS180	2.59	0.658484848	0.756756757	0.243243243	0.3254	0.079151351	125
AS181	5.06	2.776781003	0.166666667	0.833333333	0.2251	0.187583333	125
AS182	2.01	-0.293835616	0.111111108	0.888888892	0.2467	0.21928889	125
AS183	3.1	0.59967033	0.250000001	0.749999999	0.3254	0.24405	125
AS184	4.88	3.303351955	0.571428571	0.428571429	0.2806	0.120257143	125
AS185	2.39	0.998035714	0.875	0.125	0.2583	0.0322875	125
AS186	1.98	0.188059701	0.363636365	0.636363635		0	125
AS187	4.35	1.834491803	0.3	0.7	0.25011	0.175077	125
AS188	4	2.441174497	0.545454546	0.454545454	0.2123	0.0965	125
AS189	1.75	0.163829787	0.22222222	0.77777778		0	125
AS190	2.07	0.445	0.3	0.7	0.2209	0.15463	125
AS191	2.18	0.786666667	0.285714286	0.714285714	0.2067	0.147642857	125
AS192	2.12	0.207857143	0.285714285	0.714285715		0	125
AS193	4.35	2.572712418	0.125	0.875	0.2854	0.249725	125
AS194	3.13	0.656864865	0	1	0.3154	0.3154	125
AS195	4.12	3.532042254	0.285714286	0.714285714	0.2025	0.144642857	125
AS196	2.28	1.2	0.090909091	0.909090909	0.1966	0.178727273	125
AS197	4.74	2.564186047	0	1	0.2434	0.2434	125
AS198	4.44	2.917714286	0	1	0.2068	0.2068	125
AS199	2.18	0.954831461	0.428571428	0.571428572	0.178	0.101714286	125
AS200	3.9	2.177186312	0.25	0.75	0.3902	0.29265	125
AS201	2.81	1.318421053	-0.230769231	1.230769231	0.2568	0.316061538	125
AS202			#DIV/0!	#DIV/0!		#DIV/0!	125
AS203	2.22	0.221538462	0.82352941	0.17647059		0	125
AS204	4.07	2.712841727	0.222222222	0.777777778	0.1346	0.104688889	125
