"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"bcell","CO164","0.352098862298941","CO164",2.13,0.675903614,"0.249999999","0.750000001",0.2456,"0.1842",125,238.9378815818
"phos","QR62","4.71304347826087","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,3001.17389089459
"phos","QR38","3.45899017591958","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,1849.33178780987
"phos","CO131","2.83379058070416","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,1342.19267913379
"bglu","QR62","2.56533847472151","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,1633.55735782063
"bglu","QR38","6.12206572769953","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,3273.13180480086
"bglu","CO131","4.95323460639127","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,2346.04323692772
"lap","QR62","-0.0611940298507463","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,-38.9671611377651
"lap","QR38","-0.0197851893725268","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,-10.5780524874502
"lap","CO131","-0.030686612965094","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,-14.534365224309
"nag","QR62","0.848561151079137","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,540.347141543006
"nag","QR38","1.51628748707342","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,810.675517040964
"nag","CO131","3.53572701354241","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,1674.6568872471
"bxyl","QR62","0.108520900321543","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,69.1039864502948
"bxyl","QR38","0.272446324007807","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,145.662063733857
"bxyl","CO131","0.278117359413203","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,131.727124187019
"bcell","QR62","0.361418047882136","QR62",3.02,1.249824561,"0","1",0.1963,"0.1963",125,230.143942869419
"bcell","QR38","0.897865853658537","QR38",3.1,1.59,"0","1",0.2338,"0.2338",125,480.039485488953
"bcell","CO131","1.05579096045198","CO131",3.05,2.351123596,"0.142857143","0.857142857",0.3079,"0.263914286",125,500.063380640552
"phos","QR29","4.57426498663612","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,2521.92357847399
"phos","QR125","4.36432406051732","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,2953.97719062522
"phos","QR172","2.46598639455782","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,1615.81769609234
"bglu","QR29","4.12641383898869","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,2275.01038647518
"bglu","QR125","2.74487326455229","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,1857.85768934934
"bglu","QR172","8.69749168933212","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,5698.96128147896
"lap","QR29","0.0518582541054451","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,28.590943932873
"lap","QR125","0.0486455551316291","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,32.9255706706391
"lap","QR172","-0.00350140056022409","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,-2.29426447721022
"nag","QR29","1.39306965348267","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,768.039284090126
"nag","QR125","1.95474316487158","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,1323.06094655051
"nag","QR172","0.644629701434664","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,422.388412727485
"bxyl","QR29","0.200404858299595","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,110.488950435326
"bxyl","QR125","0.188053097345133","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,127.283068919978
"bxyl","QR172","0.269766997708174","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,176.762649494151
"bcell","QR29","0.595238095238095","QR29",2.1,0.684878049,"0.25","0.75",0.3023,"0.226725",125,328.171846531092
"bcell","QR125","0.600730927364093","QR125",3.3,2.800990099,"0.1","0.9",0.2052,"0.18468",125,406.602587830364
"bcell","QR172","1.58543804262036","QR172",2.28,0.58040404,"0.230769231","0.769230769",0.248,"0.190769231",125,1038.84549037966
"phos","AS91","4.26563257392147","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,2232.84787160881
"phos","CO145","1.92201011584271","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,3703.29502089154
"phos","AS1","5.30088216761184","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,3248.52386246461
"bglu","AS91","4.47300421596627","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,2341.39667921182
"bglu","CO145","4.51489951489951","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,8699.22835240753
"bglu","AS1","6.53922542204568","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,4007.41407823464
"lap","AS91","-0.0307986406117247","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,-16.1215664843618
"lap","CO145","-0.0322657743785851","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,-62.1691221167343
"lap","AS1","0.0116229923922232","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,7.12288387960759
"nag","AS91","0.985265225933202","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,515.737660140914
"nag","CO145","2.83990205223881","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,5471.87293302276
"nag","AS1","2.09332001775411","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,1282.84308430736
"bxyl","AS91","0.353650586701434","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,185.118606941705
"bxyl","CO145","0.36493477282951","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,703.149851309268
"bxyl","AS1","0.230582524271845","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,141.30720296729
"bcell","AS91","1.16084478222742","AS91",2,0.437183099,"0.250000001","0.749999999",0.3184,"0.2388",125,607.644881819211
"bcell","CO145","1.11084267491303","CO145",3.57,2.142035398,"0.8125","0.1875",0.346,"0.064875",125,2140.35197478426
"bcell","AS1","1.90230294396961","AS1",3.21,1.687724868,"0.181818182","0.818181818",0.2493,"0.203972727",125,1165.78265875811
"phos","AS115","5.72302832889152","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,1717.03337644448
"phos","AS59","6.28597957288765","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,2473.23716276662
