"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"lap","AS65","-0.00296912114014252","AS65",3.95,3.202406015,"0.142857143","0.857142857",0.1903,"0.163114286",125,-2.27533805664217
"lap","QR51","-0.0348837209302326","QR51",3.91,3.480916031,"0.111111111","0.888888889",0.18903,"0.168026667",125,-25.951030239022
"lap","CO161","-0.0792682926829268","CO161",4.03,4.299781818,"0.375","0.625",0.236,"0.1475",125,-67.1765192228193
"nag","AS65","5.63070404172099","AS65",3.95,3.202406015,"0.142857143","0.857142857",0.1903,"0.163114286",125,4314.99914860384
"nag","QR51","3.81533375314861","QR51",3.91,3.480916031,"0.111111111","0.888888889",0.18903,"0.168026667",125,2838.33945919773
"nag","CO161","2.43589743589744","CO161",4.03,4.299781818,"0.375","0.625",0.236,"0.1475",125,2064.31986093003
"bxyl","AS65","0.112007168458781","AS65",3.95,3.202406015,"0.142857143","0.857142857",0.1903,"0.163114286",125,85.834885470103
"bxyl","QR51","0.445889894419306","QR51",3.91,3.480916031,"0.111111111","0.888888889",0.18903,"0.168026667",125,331.710661156025
"bxyl","CO161","0.210297316896302","CO161",4.03,4.299781818,"0.375","0.625",0.236,"0.1475",125,178.218065166358
"bcell","AS65","0.996732026143791","AS65",3.95,3.202406015,"0.142857143","0.857142857",0.1903,"0.163114286",125,763.829498465719
"bcell","QR51","1.9860097323601","QR51",3.91,3.480916031,"0.111111111","0.888888889",0.18903,"0.168026667",125,1477.45129375811
"bcell","CO161","1.51544066620402","CO161",4.03,4.299781818,"0.375","0.625",0.236,"0.1475",125,1284.27175102036
"phos","CO157","2.77539341917024","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,2164.2181996025
"phos","AS41","9.06369731800766","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,9983.30208109681
"phos","CO10","2.41765480895916","CO10",4,3.499191176,"0","1",0.159,"0.159",125,1900.67201962198
"bglu","CO157","10.5195638229634","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,8203.02855814364
"bglu","AS41","10.9251810136766","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,12033.6523301036
"bglu","CO10","13.6361416361416","CO10",4,3.499191176,"0","1",0.159,"0.159",125,10720.2371353314
"lap","CO157","-0.162912308930008","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,-127.037046888653
"lap","AS41","-0.162325038880249","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,-178.794573738428
"lap","CO10","0.00565843621399177","CO10",4,3.499191176,"0","1",0.159,"0.159",125,4.44845614307529
"nag","CO157","3.63700037355248","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,2836.08887519688
"nag","AS41","5.98795718108831","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,6595.49665992354
"nag","CO10","3.37491090520314","CO10",4,3.499191176,"0","1",0.159,"0.159",125,2653.23184371316
"bxyl","CO157","0.602770885028949","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,470.033441226567
"bxyl","AS41","0.475941422594142","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,524.230546095588
"bxyl","CO10","0.905271199388846","CO10",4,3.499191176,"0","1",0.159,"0.159",125,711.691194488086
"bcell","CO157","2.45224892174985","CO157",4,3.669087591,"0","1",0.1603,"0.1603",125,1912.23403130837
"bcell","AS41","3.68005595523581","AS41",4.02,2.702324723,"0.428571429","0.571428571",0.1986,"0.113485714",125,4053.43525797861
"bcell","CO10","2.79358552631579","CO10",4,3.499191176,"0","1",0.159,"0.159",125,2196.21503641178
"phos","CO32","5.17017613561118","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,5170.17613561118
"phos","AS57","3.58281358281358","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,6724.49996774321
"phos","CO15","2.97753730119692","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,3821.96723722228
"bglu","CO32","23.9784946236559","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,23978.4946236559
"bglu","AS57","5.45454545454545","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,10237.5102375102
"bglu","CO15","8.07291666666667","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,10362.3968023584
"lap","CO32","0.0342075256556442","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,34.2075256556442
"lap","AS57","-0.0223387723387723","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,-41.9271252604585
"lap","CO15","0.0110294117647059","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,14.1573542650817
"nag","CO32","2.65543704474506","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,2655.43704474506
"nag","AS57","3.61524163568773","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,6785.36343034484
"nag","CO15","4.24075924075924","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,5443.43907047414
"bxyl","CO32","0.597701149425287","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,597.701149425287
"bxyl","AS57","0.20849273144606","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,391.315186648011
"bxyl","CO15","0.55620884289746","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,713.94973750719
"bcell","CO32","6.52059925093633","CO32",4.14,4.86271777,"0.444444444","0.555555556",0.225,"0.125",125,6520.59925093633
"bcell","AS57","1.81981132075472","AS57",4.04,7.420289855,"0.8","0.2",0.333,"0.0666",125,3415.5617882033
"bcell","CO15","3.66321118611379","CO15",3.99,5.823431734,"0.705882353","0.294117647",0.3311,"0.097382353",125,4702.0983182058
"phos","CO189","7.48305606900801","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,3905.56162265554
"phos","CO12","5.49936788874842","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,4328.50679948715
"phos","QR178","8.24370465215535","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,4958.91762040144
"bglu","CO189","10.4737442922374","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,5466.46361807798
"bglu","CO12","9.43686952666001","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,7427.68164239277
"bglu","QR178","9.27918665752799","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,5581.80140611645
"lap","CO189","0.0892857142857143","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,46.6000596480764
"lap","CO12","0.0359767299448867","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,28.3169853954244
"lap","QR178","0.0259861407249467","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,15.6317015910411
"nag","CO189","4.92964752700398","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,2572.88493058663
"nag","CO12","3.40450525152018","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,2679.65781308161
"nag","QR178","4.7385409941898","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,2850.42167600445
"bxyl","CO189","1.54559748427673","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,806.679271543179
"bxyl","CO12","0.430959302325581","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,339.204488253114
"bxyl","QR178","0.226183765501691","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,136.058569238265
"bcell","CO189","5.90315315315315","CO189",4.65,3.467240356,"0","1",0.2395,"0.2395",125,3080.97763734507
"bcell","CO12","3.1740125930166","CO12",4.47,3.5953125,"0.125","0.875",0.1815,"0.1588125",125,2498.23895554239
"bcell","QR178","1.76440329218107","QR178",4.58,3.551532033,"0","1",0.2078,"0.2078",125,1061.35905448813
"phos","AS141","5.99476867745627","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,2091.97678582366
"phos","AS163","12.6513815402704","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,4658.09335061502
"phos","QR18","6.83254344391785","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,6444.17454203563
"bglu","AS141","8.56892625678753","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,2990.27298184936
"bglu","AS163","15.1144214162349","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,5564.95633881992
"bglu","QR18","4.6499644633973","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,4385.65562917415
"lap","AS141","0.0335879873551106","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,11.7211011149883
"lap","AS163","-0.0227812995245642","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,-8.38781278518564
"lap","QR18","0.0427224513847967","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,40.2940626498814
"nag","AS141","3.98495702005731","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,1390.61872559231
"nag","AS163","4.75455465587044","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,1750.57240643242
"nag","QR18","1.82873730043541","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,1724.78996324967
"bxyl","AS141","0.303091397849462","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,105.76891326405
"bxyl","AS163","0.475624256837099","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,175.119387642525
"bxyl","QR18","0.148424310635903","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,139.987717878399
"bcell","AS141","2.84232613908873","AS141",4.18,3.026185567,"0","1",0.3582,"0.3582",125,991.878189240902
"bcell","AS163","3.9358010410642","AS163",4.89,2.608642659,"0","1",0.3395,"0.3395",125,1449.11673087783
"bcell","QR18","0.927248677248677","QR18",4,3.813712375,"0.111111111","0.888888889",0.1491,"0.132533333",125,874.542894473835
"phos","CO196","-8.89347079037801","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,-6140.5426911028
"phos","AS132","10.642107955999","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,6749.18059106989
"phos","AS26","4.19354838709677","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,2945.32124392244
"bglu","CO196","6.65205390485468","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,4592.94486360382
"bglu","AS132","7.43179122182681","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,4713.21107421792
"bglu","AS26","10.7855191256831","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,7575.16443719841
"lap","CO196","0.103533959138597","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,71.485555083543
"lap","AS132","0.0974710221285564","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,61.8157167228288
"lap","AS26","0.0583217270194986","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,40.962022067354
"nag","CO196","1.7457886676876","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,1205.38877298359
"nag","AS132","2.31582633053221","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,1468.68742423402
"nag","AS26","5.03741496598639","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,3538.00742097653
"bxyl","CO196","0.514220939818631","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,355.046495124441
"bxyl","AS132","0.316246056782334","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,200.561933525072
"bxyl","AS26","0.359471516815374","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,252.473322668475
"bcell","CO196","1.67638114546376","CO196",5.42,3.872451456,"0.2","0.8",0.2263,"0.18104",125,1157.46599195189
"bcell","AS132","2.29461984536082","AS132",4.36,2.867514793,"0","1",0.1971,"0.1971",125,1455.23835956419
"bcell","AS26","3.71796875","AS26",3.99,2.59,"0.125","0.875",0.2034,"0.177975",125,2611.29986655429
"phos","CO144","6.27531152647975","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,4055.9148956048
"phos","QR11","4.81526104417671","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,4201.30964952293
"phos","CO179","6.28409675759135","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,4245.35567914492
"bglu","CO144","9.59072305593451","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,6198.76102374257
