Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
CO184,CAROVA,19-Dec-17,13-Jan-19,14-Jan-19,H2,1.0,6.81,4.94,8.25,247,1.28,3.09,1.62,1.27,1.37,1.38,0.34,1.549723757,1.1,1.704696133,-0.154972376,0.003137093,-0.1,0.1929,-0.01929
CO185,CAROVA,19-Dec-17,15-Jan-19,16-Jan-19,H2,1.0,7.24,5.04,1.91,97,1.28,2.05,1.47,1.28,1.36,1.31,0.19,0.471298701,0.375,0.176737013,0.294561688,0.036527987,0.625,0.2149,0.1343125
CO186,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.8,5.11,1.3,9,1.27,1.91,1.42,1.3,1.44,1.32,0.15,0.3046875,0.142857144,0.043526786,0.261160714,0.043806662,0.857142856,0.1746,0.149657143
CO187,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.3,5.03,17.22,212,1.29,4.65,1.94,1.32,1.37,1.32,0.65,3.33125,0,0,3.33125,0.662276342,1,0.2014,0.2014
CO188,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,6.8,4.98,6.68,101,1.3,2.29,1.48,1.29,1.42,1.28,0.18,1.214545455,-0.076923077,-0.093426573,1.307972028,0.282848446,1.076923077,0.2124,0.228738461
CO189,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.99,4.93,15.79,11*,1.28,4.65,2.02,1.28,1.34,1.28,0.74,3.467240356,0,0,3.467240356,0.70329419,1,0.2395,0.2395
CO19,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,6.95,5.03,6.82,33,1.28,3.15,1.63,1.32,1.49,1.35,0.35,1.276470588,0.176470588,0.225259516,1.051211073,0.172107999,0.823529412,0.3097,0.255047059
CO190,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.32,4.99,15.95,316,1.28,4,1.91,1.29,1.36,1.3,0.63,3.694301471,0.142857143,0.527757353,3.166544118,0.543923982,0.857142857,0.1607,0.137742857
CO191,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.38,4.98,4.32,49,1.27,2.14,1.45,1.29,1.38,1.3,0.18,0.893793103,0.11111111,0.099310345,0.794482759,0.141808614,0.88888889,0.2379,0.211466667
CO192,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,7.15,5,7.14,1,1.28,3.29,1.7,1.29,1.41,1.32,0.42,1.491940299,0.25,0.372985075,1.118955224,0.167843284,0.75,0.2781,0.208575
CO193,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.61,4.99,0.95,4,1.31,2.23,1.5,1.29,1.39,1.32,0.19,0.196195652,0.299999997,0.058858696,0.137336957,0.019265705,0.700000003,,0
CO194,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.62,5.04,1.67,315,1.29,2.01,1.51,1.32,1.45,1.35,0.22,0.510277778,0.23076923,0.11775641,0.392521368,0.059908634,0.76923077,0.2001,0.153923077
CO195,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.5,4.96,2.4,303,1.29,3.3,1.1,1.3,1.42,1.31,-0.19,-0.226865672,0.083333335,-0.018905473,-0.207960199,-0.038433504,0.916666665,,0
CO196,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,7,5.02,18.77,46,1.3,5.42,2.15,1.28,1.38,1.3,0.85,3.872451456,0.2,0.774490291,3.097961165,0.49369899,0.8,0.2263,0.18104
CO197,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.41,4.98,8.18,115,1.28,4.04,2.09,1.3,1.36,1.3,0.81,2.400652174,0,0,2.400652174,0.482058669,1,0.16949,0.16949
CO198,CAROVA,19-Dec-17,,,,,7.22,4.98,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO199,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.93,4.98,12.21,111,1.28,4.01,2.13,1.28,1.36,1.28,0.85,3.801648352,0,0,3.801648352,0.763383203,1,0.27,0.27
CO2,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,6.1,5.15,7.92,36,1.29,3.11,1.76,1.28,1.46,1.3,0.47,2.045274725,0.111111111,0.227252747,1.818021978,0.313790201,0.888888889,0.3121,0.277422222
CO20,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,6.65,4.95,4.12,39,1.31,3.87,2.09,1.3,1.78,1.66,0.78,1.2553125,0.75,0.941484375,0.313828125,0.015849905,0.25,0.4409,0.110225
CO200,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.98,5.15,12.41,31,1.28,4.11,2.39,1.3,1.37,1.3,1.11,4.867526502,0,0,4.867526502,0.945150777,1,,0
CO201,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.71,5.09,1.82,12A,1.24,2.03,1.48,1.29,1.44,1.3,0.24,0.552911392,0.066666666,0.036860759,0.516050633,0.09462618,0.933333334,0.1868,0.174346667
CO202,CAROVA,19-Dec-17,,,,,7.44,5.03,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO203,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,6.18,5.02,0.35,60,1.3,1.65,1.44,1.31,1.42,1.32,0.14,0.14,0.090909093,0.012727273,0.127272727,0.023048303,0.909090907,,0
CO204,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.52,5.03,0.13,228,1.28,1.42,1.33,1.27,1.3,1.39,0.05,0.046428571,4.000000022,0.185714286,-0.139285714,0.083072991,-3.000000022,,0
CO21,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.73,4.99,0.27,93,1.27,1.54,1.35,1.28,1.36,1.33,0.08,0.08,0.625,0.05,0.03,0.002254509,0.375,,0
CO22,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.55,5.06,33.36,204,1.28,4.28,2.22,1.29,1.51,1.43,0.94,10.4528,0.636363636,6.651781818,3.801018182,0.273159769,0.363636364,0.3303,0.120109091
CO23,CAROVA,19-Dec-17,18-Jun-19,21-Jun-19,H3,1.5,7.15,4.97,12.51,6,1.29,4.65,1.9,1.3,1.39,1.29,0.61,2.271160714,-0.111111111,-0.25235119,2.523511905,0.564165416,1.111111111,0.3193,0.354777778
CO24,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,7.02,5.02,4.6,250,1.28,3.19,1.98,1.31,1.54,1.44,0.7,1.685863874,0.565217391,0.952879581,0.732984293,0.063483829,0.434782609,0.2731,0.11873913
CO25,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.08,4.98,18.24,63,1.3,4.24,2.47,1.28,1.45,1.37,1.17,7.25877551,0.529411765,3.842881152,3.415894358,0.322787088,0.470588235,0.3952,0.185976471
CO26,CAROVA,19-Dec-17,15-Jan-19,16-Jan-19,H2,1.0,7.26,4.97,1.53,20,1.3,2.07,1.49,1.29,1.42,1.3,0.19,0.377532468,0.076923079,0.029040959,0.348491508,0.064725245,0.923076921,0.1837,0.16956923
CO27,CAROVA,19-Dec-17,,,,,6.94,5.1,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO28,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,6.93,4.97,0.95,124,1.32,2.29,1.65,1.29,1.4,1.38,0.33,0.323195876,0.818181817,0.26443299,0.058762887,0.002149731,0.181818183,0.1848,0.0336
CO29,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,7.71,5.13,13.94,232,1.28,4.46,1.75,1.28,1.45,1.3,0.47,2.060314465,0.117647059,0.242389937,1.817924528,0.312680517,0.882352941,0.2946,0.259941176
CO3,CAROVA,19-Dec-17,18-Jun-19,21-Jun-19,H3,1.5,7.42,5.09,11.74,217,1.29,3.89,1.76,1.31,1.47,1.33,0.47,2.122230769,0.125,0.265278846,1.856951923,0.319220615,0.875,0.2885,0.2524375
CO30,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.99,4.95,18.32,237,1.28,4.27,1.83,1.28,1.33,1.27,0.55,3.369899666,-0.2,-0.673979933,4.043879599,0.980334448,1.2,0.18035,0.21642
CO31,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.68,4.99,2.71,251,1.28,2.14,1.44,1.29,1.43,1.35,0.16,0.504186047,0.42857143,0.216079734,0.288106312,0.03299242,0.57142857,0.3541,0.202342857
CO32,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,6.69,5.05,11.63,105,1.27,4.14,2.47,1.28,1.37,1.32,1.2,4.86271777,0.444444444,2.161207898,2.701509872,0.297195805,0.555555556,0.225,0.125
CO33,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.66,4.94,12.2,17,1.3,2.99,1.67,1.3,1.41,1.33,0.37,2.671005917,0.272727273,0.728456159,1.942549758,0.285984506,0.727272727,0.2313,0.168218182
CO34,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.64,4.98,23.33,229,1.29,4.15,1.88,1.3,1.34,1.31,0.59,4.812832168,0.25,1.203208042,3.609624126,0.543618091,0.75,0.2916,0.2187
CO35,CAROVA,19-Dec-17,18-Jun-19,21-Jun-19,H3,1.5,7.38,4.93,12.5,248,1.28,3.98,1.85,1.27,1.42,1.3,0.57,2.638888889,0.2,0.527777778,2.111111111,0.342573811,0.8,0.2864,0.22912
CO36,CAROVA,19-Dec-17,,,,,6.82,5.05,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO37,CAROVA,19-Dec-17,13-Jan-19,14-Jan-19,H2,1.0,6.55,4.93,5.37,13,1.28,2.64,1.48,1.26,1.35,1.28,0.2,0.789705882,0.222222222,0.175490196,0.614215686,0.09690128,0.777777778,0.2109,0.164033333
CO38,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,6.56,5.06,10.69,73,1.3,4.39,2.01,1.29,1.47,1.36,0.71,2.456278317,0.388888889,0.955219346,1.501058972,0.181287316,0.611111111,0.2581,0.157727778
CO39,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.37,5.12,8.67,238,1.29,3.59,1.73,1.29,1.48,1.36,0.44,1.658608696,0.368421053,0.611066362,1.047542334,0.12921986,0.631578947,0.2787,0.176021053
CO4,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.47,4.92,3.73,220,1.28,2.35,1.52,1.3,1.41,1.3,0.24,0.836635514,0,0,0.836635514,0.170047869,1,0.2516,0.2516
CO40,CAROVA,19-Dec-17,15-Jan-19,16-Jan-19,H2,1.0,6.59,4.98,18.27,26,1.3,3.47,2.46,1.29,1.87,1.79,1.16,9.766451613,0.862068966,8.419354839,1.347096774,0.037310532,0.137931034,0.3875,0.053448276
CO41,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,8.16,5.12,17.98,205,1.28,4.06,1.85,1.28,1.37,1.32,0.57,3.686546763,0.444444444,1.638465228,2.048081535,0.222231069,0.555555556,0.2993,0.166277778
CO42,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.5,5.01,10.22,228,1.29,2.99,1.63,1.29,1.42,1.3,0.34,2.044,0.076923077,0.157230769,1.886769231,0.347631365,0.923076923,0.2342,0.216184615
CO43,CAROVA,19-Dec-17,,,,,7.21,4.98,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO44,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.77,5.09,15.96,245,1.29,4.11,1.92,1.26,1.34,1.3,0.63,3.565531915,0.5,1.782765957,1.782765957,0.175124357,0.5,0.2657,0.13285
CO45,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.91,5.06,6.73,22,1.29,2.15,1.48,1.3,1.47,1.32,0.19,1.486860465,0.117647058,0.174924761,1.311935705,0.228772792,0.882352942,0.2556,0.225529412
CO46,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,6.18,4.96,7.53,56,1.29,3.18,1.64,1.29,1.43,1.3,0.35,1.394444444,0.071428571,0.099603175,1.29484127,0.2424098,0.928571429,0.224,0.208
CO47,CAROVA,19-Dec-17,20-Jun-18,21-Jun-18,H1,0.5,7.66,4.99,25.14,211,1.32,4.26,2.01,1.28,1.38,1.33,0.69,5.900204082,0.5,2.950102041,2.950102041,0.295601407,0.5,0.6065,0.30325
CO48,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.58,5,14.76,201,1.28,4.38,1.89,1.27,1.35,1.31,0.61,2.904387097,0.5,1.452193548,1.452193548,0.145219355,0.5,0.2214,0.1107
CO49,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.2,5.08,14.66,221,1.29,4.24,2,1.26,1.33,1.32,0.71,3.528338983,0.857142857,3.024290557,0.504048426,0.01417459,0.142857143,0.28911,0.041301429
CO5,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,6.59,5.08,11.33,119,1.3,3.11,1.65,1.27,1.4,1.29,0.35,2.190883978,0.153846154,0.337059074,1.853824904,0.308783676,0.846153846,0.3501,0.296238461
CO50,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,7.47,4.96,11.98,4,1,3.43,2.01,1.27,1.58,1.5,1.01,4.979341564,0.741935484,3.694350192,1.284991371,0.066856991,0.258064516,0.2686,0.069316129
CO51,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.54,4.97,27,238,1.28,6.3,2.6,1.31,1.41,1.32,1.32,7.099601594,0.1,0.709960159,6.389641434,1.157077926,0.9,0.28522,0.256698
CO52,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,6.87,4.98,0.62,13,1.27,1.82,1.47,1.3,1.47,1.43,0.2,0.225454545,0.764705883,0.172406417,0.053048128,0.002506408,0.235294117,0.2304,0.054211764
CO53,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.69,5.02,6.46,122,1.29,3.31,1.69,1.29,1.42,1.33,0.4,1.279207921,0.307692308,0.393602437,0.885605484,0.122133763,0.692307692,0.3526,0.244107692
CO54,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.6,5.09,18.71,25,1.28,3.93,2.49,1.3,1.47,1.41,1.21,8.543056604,0.647058824,5.527860155,3.015196448,0.209074063,0.352941176,0.2886,0.101858824
CO55,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.28,5.02,16.41,241,1.29,4.31,2.02,1.3,1.38,1.3,0.73,3.966655629,0,0,3.966655629,0.790170444,1,,0
CO56,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.97,5.05,1.42,234,1.3,2.11,1.5,1.31,1.41,1.33,0.2,0.350617284,0.200000001,0.070123457,0.280493827,0.044434666,0.799999999,0.19892,0.159136
CO57,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.16,4.94,11.72,53,1.28,5.34,2.88,1.28,1.5,1.43,1.6,4.618719212,0.681818182,3.149126735,1.469592476,0.094655386,0.318181818,0.3559,0.113240909
CO58,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.75,5.09,14.5,239,1.27,4.28,2.1,1.29,1.35,1.29,0.83,3.99833887,0,0,3.99833887,0.785528265,1,0.23432,0.23432
CO59,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,7.29,5.02,7.33,207,1.29,3.16,1.71,0.99,1.1,1.01,0.42,1.64631016,0.181818182,0.29932912,1.34698104,0.219536932,0.818181818,0.2621,0.214445455
CO6,CAROVA,19-Dec-17,18-Jan-19,29-Jan-19,H2,1.0,6.41,5.03,10.55,232,1.28,3.22,1.69,1.29,1.37,1.31,0.41,2.229639175,0.25,0.557409794,1.672229381,0.249338377,0.75,0.2846,0.21345
CO60,CAROVA,19-Dec-17,18-Jun-19,21-Jun-19,H3,1.5,6.15,5.03,5.81,35,1.29,3,1.58,1.29,1.4,1.31,0.29,0.985321637,0.181818181,0.179149389,0.806172249,0.131132302,0.818181819,0.3368,0.275563637
CO61,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,7.16,5.01,9.47,106,1.29,3.75,1.79,1.28,1.45,1.32,0.5,1.924796748,0.235294117,0.452893352,1.471903396,0.224665306,0.764705883,0.2444,0.186894118
CO62,CAROVA,19-Dec-17,15-Jan-19,16-Jan-19,H2,1.0,6.85,4.97,9.93,110,1.3,3.19,1.87,1.29,1.52,1.39,0.57,2.994761905,0.434782609,1.302070393,1.692691511,0.192502752,0.565217391,0.2804,0.158486956
CO63,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.87,5.06,12.79,252,1.28,3.78,1.74,1.26,1.39,1.32,0.46,2.35336,0.461538462,1.086166154,1.267193846,0.134848843,0.538461538,0.2136,0.115015385
CO64,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.66,4.99,1.22,74,1.29,1.46,1.35,1.3,1.36,1.34,0.06,0.430588235,0.666666666,0.287058824,0.143529412,0.009587803,0.333333334,0.2013,0.0671
CO65,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.38,4.99,1.03,75,1.28,2.27,1.52,1.27,1.4,1.28,0.24,0.24969697,0.07692308,0.019207459,0.23048951,0.042637184,0.92307692,,0
CO66,CAROVA,19-Dec-17,,,,,6.34,5,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO67,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.57,4.92,13.65,206,1.27,4.18,1.95,1.29,1.36,1.29,0.68,3.189690722,0,0,3.189690722,0.648311122,1,0.3118,0.3118
CO68,CAROVA,19-Dec-17,,,,,6.97,4.95,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO69,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.97,4.94,0.59,62,1.3,1.88,1.42,1.28,1.4,1.27,0.12,0.122068966,-0.083333327,-0.010172414,0.132241379,0.029000302,1.083333327,,0
CO7,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.72,5.07,22.63,235,1.28,4.49,1.86,1.28,1.34,1.31,0.58,4.088909657,0.5,2.044454829,2.044454829,0.201622764,0.5,0.22574,0.11287
CO70,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,6.51,4.98,0.59,305,1.28,1.86,1.41,1.3,1.42,1.33,0.13,0.132241379,0.250000002,0.033060345,0.099181034,0.014936903,0.749999998,,0
CO71,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.41,5,18.8,221,1.28,3.82,1.78,1.29,1.39,1.31,0.5,3.700787402,0.2,0.74015748,2.960629921,0.473700787,0.8,0.2138,0.17104
CO72,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.83,4.94,1.39,231,1.29,1.84,1.4,1.31,1.4,1.31,0.11,0.278,0,0,0.278,0.056275304,1,0.1972,0.1972
CO73,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.26,5.02,12.84,29,1.28,4.13,2.07,1.29,1.37,1.31,0.79,3.559157895,0.25,0.889789474,2.669368421,0.398810023,0.75,0.1663,0.124725
CO74,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.81,5.01,11.06,244,1.29,4.2,2.23,1.29,1.39,1.29,0.94,3.572646048,0,0,3.572646048,0.713103004,1,0.1456,0.1456
CO75,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.09,4.99,12.41,19A,1.28,6.71,2.01,1.29,1.44,1.31,0.73,1.668379374,0.133333333,0.222450583,1.445928791,0.251129917,0.866666667,0.2443,0.211726667
CO76,CAROVA,19-Dec-17,18-Jan-19,28-Jan-19,H2,1.0,6.96,4.96,1.7,246,1.29,2.01,1.47,1.28,1.36,1.29,0.18,0.425,0.125,0.053125,0.371875,0.065602949,0.875,0.1933,0.1691375
CO77,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.79,4.97,4.39,19A,1.26,3.16,1.67,1.28,1.39,1.29,0.41,0.947315789,0.090909091,0.086119617,0.861196172,0.15752628,0.909090909,0.2175,0.197727273
CO78,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.16,4.99,17,252,1.28,5.73,2.28,1.28,1.37,1.29,1,3.820224719,0.111111111,0.424469413,3.395755306,0.604899631,0.888888889,22753,20224.88889
CO79,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,6.6,4.96,0.56,103,1.28,1.83,1.57,1.29,1.42,1.3,0.29,0.295272727,0.076923075,0.022713287,0.272559441,0.050724462,0.923076925,,0
CO8,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,7.03,4.98,7.97,222,1.29,3.65,1.86,1.3,1.45,1.34,0.57,1.924957627,0.266666667,0.513322034,1.411635593,0.207871372,0.733333333,0.239,0.175266667
CO80,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.39,5,15.64,246,1.28,4.25,1.98,1.27,1.37,1.29,0.7,3.686195286,0.2,0.737239057,2.948956229,0.471832997,0.8,0.2377,0.19016
CO81,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,7.6,5.08,1.27,46,1.3,1.92,1.47,1.28,1.43,1.28,0.17,0.348225806,0,0,0.348225806,0.068548387,1,,0
CO82,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.06,4.97,8.87,92,1.29,3.98,2.01,1.3,1.37,1.32,0.72,2.374126394,0.285714286,0.678321827,1.695804567,0.243720116,0.714285714,0.2103,0.150214286
CO83,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.18,4.99,5.6,214,1.29,2.12,1.47,1.27,1.42,1.3,0.18,1.214457831,0.2,0.242891566,0.971566265,0.155762127,0.8,0.2144,0.17152
CO84,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.51,5.07,1.48,36,1.3,2.07,1.43,1.3,1.42,1.34,0.13,0.24987013,0.333333332,0.083290043,0.166580087,0.021904022,0.666666668,0.199,0.132666667
CO85,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.35,4.92,1.76,239,1.28,2.05,1.52,1.28,1.39,1.3,0.24,0.548571429,0.181818182,0.09974026,0.448831169,0.07463933,0.818181818,0.2653,0.217063636
CO86,CAROVA,19-Dec-17,18-Jan-19,28-Jan-19,H2,1.0,7.19,4.99,1.15,84,1.27,1.87,1.47,1.27,1.35,1.27,0.2,0.383333333,0,0,0.383333333,0.076820307,1,0.222,0.222
CO87,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.41,5.09,15.62,49,1.29,5.3,2.32,1.28,1.35,1.29,1.03,4.012119701,0.142857143,0.573159957,3.438959743,0.579111941,0.857142857,0.2398,0.205542857
CO88,CAROVA,19-Dec-17,18-Jan-19,28-Jan-19,H2,1.0,7.02,4.93,3.52,215,1.27,1.61,1.65,1.28,1.38,1.29,0.38,3.934117647,0.1,0.393411765,3.540705882,0.646376327,0.9,0.2924,0.26316
CO89,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.65,5.07,0.74,231,1.29,2,1.48,1.28,1.35,1.3,0.19,0.198028169,0.285714286,0.056579477,0.141448692,0.019927964,0.714285714,,0
CO9,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.27,5.03,0.19,96,1.3,1.58,1.38,1.29,1.35,1.33,0.08,0.054285714,0.666666667,0.036190476,0.018095238,0.001199154,0.333333333,,0
CO90,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.46,4.95,1.04,300,1.31,2.05,1.48,1.31,1.38,1.31,0.17,0.238918919,0,0,0.238918919,0.048266448,1,,0
CO91,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.06,4.98,15.4,17,1.29,4.03,1.83,1.29,1.38,1.29,0.54,3.035036496,0,0,3.035036496,0.60944508,1,0.33251,0.33251
CO92,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.53,4.94,2.88,114,1.29,2.31,1.46,1.3,1.42,1.32,0.17,0.48,0.166666667,0.08,0.4,0.067476383,0.833333333,0.2841,0.23675
CO93,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,6.67,4.95,15.18,22,1.26,4.59,2.1,1.28,1.38,1.29,0.84,3.829189189,0.1,0.382918919,3.44627027,0.626594595,0.9,0.2664,0.23976
CO94,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,6.62,4.96,7.51,102,1.27,2.91,1.68,1.29,1.39,1.29,0.41,1.8775,0,0,1.8775,0.378528226,1,0.2683,0.2683
CO95,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.1,4.96,1.2,254,1.28,1.91,1.47,1.29,1.44,1.29,0.19,0.361904762,0,0,0.361904762,0.07296467,1,,0
CO96,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,6.2,4.97,16.24,20,1.27,4.31,1.94,1.3,1.36,1.31,0.67,3.579210526,0.166666666,0.596535088,2.982675439,0.500113253,0.833333334,0.2679,0.22325
CO97,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,6.88,4.99,9.85,108,1.28,3.64,1.66,1.28,1.4,1.31,0.38,1.586016949,0.25,0.396504237,1.189512712,0.178784476,0.75,0.2172,0.1629
CO98,CAROVA,19-Dec-17,18-Jan-19,29-Jan-19,H2,1.0,7.54,4.98,19.56,202,1.24,3.51,1.75,1.29,1.41,1.31,0.51,4.394537445,0.166666667,0.732422907,3.662114537,0.612803637,0.833333333,0.2452,0.204333333
CO99,CAROVA,19-Dec-17,,,,,7.69,5.01,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
QR1,QUERUB,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.47,4.99,10.63,75,1.28,4.6,2.24,1.29,1.37,1.29,0.96,3.07373494,0,0,3.07373494,0.615978946,1,0.2026,0.2026
QR10,QUERUB,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.16,5.07,12.27,308,1.3,4.87,2.46,1.29,1.37,1.31,1.16,3.986890756,0.25,0.996722689,2.990168067,0.442332554,0.75,0.1971,0.147825
QR100,QUERUB,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,6.72,5.09,17.35,16,1.3,4.77,1.9,1.3,1.49,1.37,0.6,3,0.368421053,1.105263158,1.894736842,0.23510332,0.631578947,0.2613,0.165031579
