Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
CO111,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.03,5.01,3.61,107,1.29,2.92,1.71,1.3,1.43,1.31,0.42,0.930184049,0.076923077,0.071552619,0.85863143,0.158200171,0.923076923,0.2491,0.229938462
CO112,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.48,4.99,0.53,52,1.29,1.82,1.54,1.3,1.42,1.31,0.25,0.25,0.083333332,0.020833333,0.229166667,0.042098085,0.916666668,,0
CO113,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,6.91,5.03,10.85,91,1.29,4.09,2.19,1.28,1.37,1.31,0.9,3.4875,0.333333333,1.1625,2.325,0.308151093,0.666666667,0.2375,0.158333333
CO114,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.09,4.99,11.59,86,1.29,2.82,1.54,1.29,1.41,1.32,0.25,1.89379085,0.25,0.473447712,1.420343137,0.213478427,0.75,0.2602,0.19515
CO115,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.15,4.94,0.37,226,1.29,1.64,1.4,1.26,1.36,1.27,0.11,0.116285714,0.099999997,0.011628571,0.104657143,0.019067091,0.900000003,,0
CO116,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.37,5.09,17.39,65,1.27,5.26,2.16,1.3,1.4,1.32,0.89,3.878972431,0.2,0.775794486,3.103177945,0.487729343,0.8,0.1989,0.15912
CO117,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.04,4.92,12.02,14,1.29,4.28,1.79,1.29,1.36,1.29,0.5,2.010033445,0,0,2.010033445,0.408543383,1,0.27809,0.27809
CO118,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.56,5.01,17.28,36,1.3,4.82,2.06,1.31,1.41,1.34,0.76,3.730909091,0.3,1.119272727,2.611636364,0.364899292,0.7,0.3782,0.26474
CO119,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.49,4.98,10.17,32,1.28,2.72,1.49,1.28,1.39,1.32,0.21,1.483125,0.363636364,0.539318182,0.943806818,0.120603281,0.636363636,0.2159,0.137390909
CO12,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.69,5.02,14.75,10,1.27,4.47,2.05,1.29,1.37,1.3,0.78,3.5953125,0.125,0.449414063,3.145898438,0.548338871,0.875,0.1815,0.1588125
CO120,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.02,5.03,9.8,47,1.28,3.5,1.88,1.27,1.44,1.36,0.6,2.648648649,0.529411765,1.402225755,1.246422893,0.116610726,0.470588235,0.1995,0.093882353
CO121,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,6.69,5.03,12.59,84,1.29,4.5,2.15,1.31,1.37,1.31,0.86,3.373021807,0,0,3.373021807,0.670580876,1,0.1754,0.1754
CO122,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.93,5.04,2.65,245,1.29,2.11,1.46,1.28,1.45,1.3,0.17,0.549390244,0.117647058,0.064634146,0.484756098,0.084866264,0.882352942,0.216,0.190588235
CO123,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,7.84,5.02,7.01,311,1.3,2.83,1.59,1.29,1.38,1.31,0.29,1.32869281,0.222222222,0.295265069,1.033427741,0.160114966,0.777777778,0.1914,0.148866667
CO124,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,7.25,5.03,8.89,4,1.28,3.33,1.78,1.28,1.41,1.31,0.5,2.168292683,0.230769231,0.500375235,1.667917448,0.255072251,0.769230769,0.3617,0.278230769
CO125,CAROVA,19-Dec-17,,,,,6.93,4.93,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO126,CAROVA,19-Dec-17,18-Jan-19,28-Jan-19,H2,1.0,6.88,4.95,0.77,68,1.27,2.04,1.53,1.29,1.37,1.29,0.26,0.26,0,0,0.26,0.052525253,1,,0
CO127,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,7.04,4.94,1.07,37,1.29,1.66,1.38,1.27,1.37,1.28,0.09,0.26027027,0.1,0.026027027,0.234243243,0.042675894,0.9,0.1434,0.12906
CO128,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.39,4.99,12.11,242,1.28,3.99,2.05,1.29,1.36,1.29,0.77,3.440848708,0,0,3.440848708,0.689548839,1,0.2168,0.2168
CO129,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.21,4.98,10.64,201,1.28,3.88,1.68,1.29,1.44,1.3,0.4,1.636923077,0.066666667,0.109128205,1.527794872,0.286333711,0.933333333,0.2481,0.23156
CO13,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.21,4.97,5.02,77,1.27,2.15,1.57,1.21,1.35,1.3,0.3,1.711363636,0.642857143,1.100162338,0.611201299,0.04392076,0.357142857,0.2145,0.076607143
CO130,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.46,5.04,0.79,17A,1.29,2.08,1.55,1.27,1.36,1.32,0.26,0.26,0.555555554,0.144444444,0.115555556,0.010190084,0.444444446,,0
CO131,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.93,4.97,13.5,11,1.27,3.05,1.58,1.3,1.44,1.32,0.31,2.351123596,0.142857143,0.335874799,2.015248796,0.347556561,0.857142857,0.3079,0.263914286
CO132,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.65,5.06,14.06,58,1.29,4.25,1.98,0.99,1.07,1.03,0.69,3.2775,0.5,1.63875,1.63875,0.161931818,0.5,0.218,0.109
CO133,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7,4.92,13.98,44,1.3,3.89,2.09,1.26,1.39,1.3,0.79,4.264169884,0.307692308,1.312052272,2.952117612,0.415401165,0.692307692,0.1556,0.107723077
CO134,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.24,4.97,1.6,55,1.29,1.95,1.5,1.28,1.43,1.3,0.21,0.509090909,0.133333334,0.067878788,0.441212121,0.076938398,0.866666666,,0
CO135,CAROVA,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.32,5.02,16.54,236,1.27,4.14,1.99,1.28,1.35,1.3,0.72,4.149407666,0.285714286,1.185545047,2.963862618,0.421722057,0.714285714,0.22114,0.157957143
CO136,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.51,4.93,14.62,101,1.3,5.01,2.15,1.28,1.39,1.33,0.85,3.349595687,0.454545455,1.522543494,1.827052193,0.202144812,0.545454545,0.2966,0.161781818
CO137,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.72,4.98,0.7,308,1.28,1.97,1.62,1.3,1.45,1.32,0.34,0.344927536,0.133333333,0.045990338,0.298937198,0.052023877,0.866666667,,0
CO138,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.03,5.06,1.5,66A,1.29,1.91,1.49,1.27,1.35,1.29,0.2,0.483870968,0.25,0.120967742,0.362903226,0.053790004,0.75,0.2081,0.156075
CO139,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.78,4.97,7.99,92,1.3,2.12,1.44,1.3,1.42,1.31,0.14,1.364146341,0.083333333,0.113678862,1.25046748,0.230636189,0.916666667,0.1796,0.164633333
CO14,CAROVA,19-Dec-17,,,,,6.3,4.97,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
CO140,CAROVA,19-Dec-17,18-Jan-19,23-Jan-19,H2,1.0,6.81,4.97,1.33,83,1.29,1.82,1.45,1.3,1.31,1.3,0.16,0.401509434,0,0,0.401509434,0.080786606,1,0.3077,0.3077
CO141,CAROVA,19-Dec-17,18-Jan-19,28-Jan-19,H2,1.0,7.64,5.09,1.63,31,1.28,2.08,1.45,1.29,1.38,1.31,0.17,0.346375,0.222222222,0.076972222,0.269402778,0.041166109,0.777777778,0.2906,0.226022222
CO142,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.2,4.96,14.36,219,1.28,4.37,1.94,1.31,1.39,1.31,0.66,3.067184466,0,0,3.067184466,0.618383965,1,0.1793,0.1793
CO143,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.99,4.92,1.79,237,1.28,1.74,1.36,1.28,1.35,1.3,0.08,0.311304348,0.285714288,0.088944099,0.222360248,0.032282266,0.714285712,0.29,0.207142857
CO144,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,7.51,4.97,15.53,19,1.31,3.75,1.88,1.32,1.44,1.32,0.57,3.627909836,0,0,3.627909836,0.729961738,1,0.1934,0.1934
CO145,CAROVA,19-Dec-17,18-Jan-19,22-Jan-19,H2,1.0,6.4,4.91,10.3,23,1.31,3.57,1.78,1.29,1.61,1.55,0.47,2.142035398,0.8125,1.740403761,0.401631637,0.015337257,0.1875,0.346,0.064875
CO146,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.78,4.93,15.84,217,1.29,4.69,2.02,1.29,1.37,1.31,0.73,3.400941176,0.25,0.850235294,2.550705882,0.38803842,0.75,0.2616,0.1962
CO147,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.03,5.01,0.55,249,1.29,1.85,1.53,1.28,1.4,1.3,0.24,0.235714286,0.166666669,0.039285714,0.196428571,0.03267275,0.833333331,0.1564,0.130333333
CO148,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,7.27,5.06,1.46,37,1.29,2.63,1.61,1.28,1.45,1.29,0.32,0.348656716,0.058823528,0.020509219,0.328147498,0.061036503,0.941176472,,0
CO149,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.07,5.01,6.01,30,1.28,2.8,1.49,1.29,1.38,1.29,0.21,0.830328947,0,0,0.830328947,0.165734321,1,0.246,0.246
CO15,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,6.96,4.96,15.03,48,1.28,3.99,2.33,1.3,1.47,1.42,1.05,5.823431734,0.705882353,4.110657695,1.71277404,0.101563926,0.294117647,0.3311,0.097382353
CO150,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,6.77,4.94,1.6,106,1.3,2.68,1.55,1.31,1.43,1.34,0.25,0.289855072,0.25,0.072463768,0.217391304,0.033004753,0.75,,0
CO151,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,7.84,4.94,0.73,7,1.29,1.86,1.48,1.29,1.41,1.31,0.19,0.243333333,0.166666665,0.040555556,0.202777778,0.034206778,0.833333335,,0
CO152,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,7.27,5.09,9.32,51,1.28,3.51,1.9,1.27,1.36,1.29,0.62,2.591210762,0.222222222,0.575824614,2.015386148,0.30796121,0.777777778,0.3668,0.285288889
CO153,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,7.37,4.91,0.4,61,1.29,1.69,1.4,1.3,1.39,1.34,0.11,0.11,0.444444445,0.048888889,0.061111111,0.006914586,0.555555555,,0
CO154,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.75,5.09,10.3,93,1.28,3.61,1.85,1.28,1.39,1.3,0.57,2.519742489,0.181818182,0.458134998,2.061607491,0.331388952,0.818181818,0.2859,0.233918182
CO155,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,7.57,4.98,17.56,34,1.3,4.7,1.99,1.29,1.39,1.3,0.69,3.563647059,0.1,0.356364706,3.207282353,0.579629341,0.9,0.2278,0.20502
