Bag ID,Plot,Ecosystem,Ecotone,TerrType,LumpTrans,Species
T06,J3/4,RB,Ecotone,T-RB,RB,
T07,1,B,B,B,B,
T07,23,R,R,RU,RU,
T08,1,B,B,B,B,
T08,1,B,B,B,B,
T09,21,U,U,U,U,
T09,9,U,U,U,U,
T10,P3/4,RU,Ecotone,T-UR,RU,
T10,9,U,U,U,U,
T11,24,R,R,R,R,
T11,L3/4,BU,Ecotone,T-UB,UB,
T12,24,R,R,R,R,
T12,J3/4,RB,Ecotone,T-RB,RB,
T13,1,B,B,B,B,
T13,23,R,R,RU,RU,
T14,1,B,B,B,B,
T14,1,B,B,B,B,
T15,21,U,U,U,U,
T15,9,U,U,U,U,
T16,P3/4,RU,Ecotone,T-UR,RU,
T16,9,U,U,U,U,
T17,24,R,R,R,R,
T17,L3/4,BU,Ecotone,T-UB,UB,
T18,24,R,R,R,R,
T18,J3/4,RB,Ecotone,T-RB,RB,
