Sample,bcell,bglu,bxyl,lap,nag,phos
QR159,298.6371378,2264.839948,50.16228534,25.16732313,1104.052234,2793.871848
QR16,,9669.150887,320.8080866,-35.17284392,3045.957638,8949.109754
QR160,299.9600498,1909.814214,101.4517266,30.64092134,820.2338943,3463.405896
QR162,324.1782838,1551.313066,66.01365751,16.79836003,457.7558865,753.9666445
QR163,117.2599485,766.2010664,28.68505493,20.19036584,265.718934,790.3975364
QR164,91.11345691,758.4969388,55.61841268,37.18235196,381.0052265,1136.579705
QR168,0.079156107,0.500529566,0.01493172,0.003410644,0.135693986,0.394468961
QR169,321.6797569,3371.748303,104.5077386,4.039863969,1393.452631,2772.761071
QR17,0,0,0,,,0
QR170,270.6004167,1863.17522,122.8922487,19.21607085,802.5472506,2713.854802
QR171,285.0743117,1997.458565,166.6931708,41.1402106,2073.291422,5158.356288
QR172,1038.84549,5698.961281,176.7626495,-2.294264477,422.3884127,1615.817696
QR173,483.3647678,2829.437494,136.5084773,21.41352052,1211.331239,3444.872374
QR174,905.6878961,3506.387203,119.41544,34.37879804,1674.430183,3148.641799
QR175,83.97585449,488.1042588,28.2517013,10.49089924,200.9684142,560.6380645
QR178,1061.359054,5581.801406,136.0585692,15.63170159,2850.421676,4958.91762
QR18,874.5428945,4385.655629,139.9877179,40.29406265,1724.789963,6444.174542
QR180,746.8663385,5309.506013,174.5876993,34.28570193,1995.641618,4278.62145
QR181,141.3501466,1053.322512,58.89566626,4.666891009,562.6597143,2055.442904
QR182,718.7147949,3462.19717,190.1714635,31.03323539,1513.961877,3994.208075
QR183,657.133121,4382.334152,196.2899902,80.41688128,1507.144966,4904.041419
QR185,141.1173307,1009.980302,91.72038819,-16.27888146,634.1773854,1669.222831
QR186,191.0844318,1326.188482,96.78014969,16.01867888,433.0456648,1063.02434
QR187,1011.849474,4379.905805,117.1047141,13.16745054,1499.530567,1156.558553
QR188,,8322.273345,,23.9567009,,3289.954279
QR189,390.3069721,1628.243148,91.05996167,2.374543949,713.3874862,1181.1174
QR19,418.316653,1596.199744,62.01959621,19.31139862,666.3924269,1693.468144
QR191,257.4293337,3704.766955,76.51354999,25.3558786,1541.273687,3607.144437
QR192,372.0310185,1627.399842,79.3155821,68.36931037,561.6939861,2290.244178
